710_a
Facultas theologiae Lovaniensis.
Facultas medica Lovaniensis.
Facultas juris utriusque Lovaniensis.
Facultas juris utriusque Lovaniensis
Collegium Adriani VI
Leuven: O.P..
Facultas artium Lovaniensis.
Leuven: O.Carm..
Leuven: O.S.A..
