fm_id,inst_fk
4358,18
4359,20
4360,16
4361,18
4362,18
4363,18
4364,17
4365,21
4366,18
4367,17
4368,18
4369,18
4370,21
4371,18
4372,18
4373,16
4374,21
4375,18
4376,20
4377,20
4378,19
4379,18
4380,20
4381,19
4382,17
4383,19
4384,21
4385,19
4386,16
4387,16
4388,19
4389,18
4390,16
4391,17
4392,18
4393,18
4394,20
4395,18
4396,18
4397,16
4398,16
4399,18
4400,20
4401,20
4402,20
4403,19
4404,20
4405,20
4406,16
4407,22
4408,16
4409,16
4410,18
4411,17
4412,17
4413,17
4414,17
4415,26
4416,17
4417,17
4418,18
4419,17
4420,16
4421,17
4422,18
4423,17
4424,19
4425,19
4426,19
4427,16
4428,18
4429,17
4430,21
4431,19
4432,17
4433,17
4434,17
4435,17
4436,19
4437,16
4438,17
4439,16
4440,20
4441,20
4442,19
4443,16
4444,20
4445,17
4446,19
4447,19
4448,21
4449,21
4450,22
4451,22
4452,18
4453,20
4454,20
4455,20
4456,18
4457,20
4458,20
4459,20
4460,20
4461,20
4462,20
4463,20
4464,20
4465,20
4466,20
4467,20
4468,20
4469,20
4470,16
4471,20
4472,19
4473,20
4474,20
4475,16
4476,17
4477,17
4478,17
4479,20
4480,20
4481,20
4482,17
4483,20
4484,20
4485,18
4486,18
4487,18
4488,18
4489,18
4490,17
4491,17
4492,20
4493,20
4494,18
4495,16
4496,16
4497,20
4498,20
4499,18
4500,16
4501,23
4502,20
4503,20
4504,20
4505,20
4506,20
4507,21
4508,19
4509,16
4510,18
4511,20
4512,17
4513,17
4514,17
4515,17
4516,20
4517,16
4518,20
4519,17
4520,17
4521,17
4522,16
4523,16
4524,18
4525,20
4526,18
4527,18
4528,18
4529,16
4530,20
4531,18
4532,20
4533,16
4534,20
4535,20
4536,0
4537,0
4538,18
4539,17
4540,17
4541,19
4542,25
4543,18
4544,18
4545,20
4546,16
4547,16
4548,16
4549,18
4550,16
4551,21
4552,19
4553,18
4554,23
4555,19
4556,21
4557,18
4558,18
4559,18
4560,20
4561,20
4562,19
4563,18
4564,18
4565,21
4566,19
4567,21
4568,17
4569,16
4570,24
4571,17
4572,17
4573,17
4574,16
4575,18
4576,19
4577,18
4578,17
4579,20
4580,20
4581,20
4582,21
4583,20
4584,21
4585,19
4586,26
4587,25
4588,19
4589,18
4590,17
4591,18
4592,19
4593,19
4594,20
4595,22
4596,20
4597,20
4598,20
4599,20
4600,20
4601,20
4602,20
4603,18
4604,20
4605,20
4606,20
4607,19
4608,25
4609,25
4610,17
4611,16
4612,18
4613,18
4614,19
4615,18
4616,18
4617,18
4618,18
4619,18
4620,18
4621,18
4622,18
4623,16
4624,19
4625,20
4626,20
4627,19
4628,20
4629,25
4630,26
4631,19
4632,22
4633,22
4634,22
4635,22
4636,22
4637,16
4638,16
4639,16
4640,25
4641,25
4642,25
4643,25
4644,18
4645,16
4646,17
4647,16
4648,16
4649,16
4650,16
4651,17
4652,20
4653,20
4654,17
4655,19
4656,17
4657,17
4658,21
4659,21
4660,21
4661,16
4662,26
4663,20
4664,18
4665,18
4666,20
4667,20
4668,21
4669,22
4670,17
4671,20
4672,17
4673,19
4674,16
4675,18
4676,20
4677,17
4678,17
4679,17
4680,19
4681,18
4682,18
4683,16
4684,16
4685,17
4686,25
4687,20
4688,21
4689,18
4690,16
4691,20
4692,16
4693,16
4694,17
4695,21
4696,18
4697,19
4698,20
4699,20
4700,18
4701,19
4702,19
4703,19
4704,18
4705,19
4706,20
4707,16
4708,16
4709,17
4710,16
4711,16
4712,20
4713,17
4714,20
4715,17
4716,21
4717,16
4718,16
4719,18
4720,16
4721,18
4722,20
4723,20
4724,20
4725,20
4726,20
4727,18
4728,18
4729,20
4730,20
4731,20
4732,20
4733,20
4734,20
4735,18
4736,18
4737,18
4738,18
4739,21
4740,20
4741,18
4742,21
4743,16
4744,20
4745,19
