place_fm_id,name,value,project_fk,import
9112,wikidata,https://www.wikidata.org/wiki/Q3033,16,Imported from 20230321_Caa_all.xml
9113,geonames,https://www.geonames.org/6556313,7,Imported from 20230321_Caa_all.xml
9113,wikidata,https://www.wikidata.org/wiki/Q220090,16,Imported from 20230321_Caa_all.xml
9114,geonames,https://www.geonames.org/6558887,7,Imported from 20230321_Caa_all.xml
9114,wikidata,https://www.wikidata.org/wiki/Q16145,16,Imported from 20230321_Caa_all.xml
9115,geonames,https://www.geonames.org/6557930,7,Imported from 20230321_Caa_all.xml
9115,wikidata,https://www.wikidata.org/wiki/Q518690,16,Imported from 20230321_Caa_all.xml
9116,geonames,https://www.geonames.org/6556450,7,Imported from 20230321_Caa_all.xml
9116,wikidata,https://www.wikidata.org/wiki/Q3974,16,Imported from 20230321_Caa_all.xml
9117,geonames,https://www.geonames.org/2642743,7,Imported from 20230321_Caa_all.xml
9117,wikidata,https://www.wikidata.org/wiki/Q602055,16,Imported from 20230321_Caa_all.xml
9118,geonames,https://www.geonames.org/5101717,7,Imported from 20230321_Caa_all.xml
9118,wikidata,https://www.wikidata.org/wiki/Q138338,16,Imported from 20230321_Caa_all.xml
9119,geonames,https://www.geonames.org/2750187,7,Imported from 20230321_Caa_all.xml
9119,wikidata,https://www.wikidata.org/wiki/Q33467336,16,Imported from 20230321_Caa_all.xml
9120,geonames,https://www.geonames.org/3220975,7,Imported from 20230321_Caa_all.xml
9120,wikidata,https://www.wikidata.org/wiki/Q3042,16,Imported from 20230321_Caa_all.xml
9121,geonames,https://www.geonames.org/6360513,7,Imported from 20230321_Caa_all.xml
9121,wikidata,https://www.wikidata.org/wiki/Q15695,16,Imported from 20230321_Caa_all.xml
9122,geonames,https://www.geonames.org/2747351,7,Imported from 20230321_Caa_all.xml
9122,wikidata,https://www.wikidata.org/wiki/Q2766547,16,Imported from 20230321_Caa_all.xml
9123,geonames,https://www.geonames.org/2785341,7,Imported from 20230321_Caa_all.xml
9123,wikidata,https://www.wikidata.org/wiki/Q173219,16,Imported from 20230321_Caa_all.xml
9124,geonames,https://www.geonames.org/2972214,7,Imported from 20230321_Caa_all.xml
9124,wikidata,https://www.wikidata.org/wiki/Q213155,16,Imported from 20230321_Caa_all.xml
9125,geonames,https://www.geonames.org/712441,7,Imported from 20230321_Caa_all.xml
9125,wikidata,https://www.wikidata.org/wiki/Q158799,16,Imported from 20230321_Caa_all.xml
9126,geonames,https://www.geonames.org/3057124,7,Imported from 20230321_Caa_all.xml
9126,wikidata,https://www.wikidata.org/wiki/Q26175,16,Imported from 20230321_Caa_all.xml
