place_fm_id,name,value,project_fk,import
9095,geonames,https://www.geonames.org/2973783,7,Imported from 20230321_Caa_all.xml
9095,wikidata,https://www.wikidata.org/wiki/Q6602,16,Imported from 20230321_Caa_all.xml
9096,geonames,https://www.geonames.org/6557378,7,Imported from 20230321_Caa_all.xml
9096,wikidata,https://www.wikidata.org/wiki/Q486562,16,Imported from 20230321_Caa_all.xml
9097,geonames,https://www.geonames.org/2998286,7,Imported from 20230321_Caa_all.xml
9097,wikidata,https://www.wikidata.org/wiki/Q45656,16,Imported from 20230321_Caa_all.xml
9098,geonames,https://www.geonames.org/3165525,7,Imported from 20230321_Caa_all.xml
9098,wikidata,https://www.wikidata.org/wiki/Q495,16,Imported from 20230321_Caa_all.xml
9099,geonames,https://www.geonames.org/2653941,7,Imported from 20230321_Caa_all.xml
9099,wikidata,https://www.wikidata.org/wiki/Q350,16,Imported from 20230321_Caa_all.xml
9100,geonames,https://www.geonames.org/6559169,7,Imported from 20230321_Caa_all.xml
9100,wikidata,https://www.wikidata.org/wiki/Q3806,16,Imported from 20230321_Caa_all.xml
9101,geonames,https://www.geonames.org/3031582,7,Imported from 20230321_Caa_all.xml
9101,wikidata,https://www.wikidata.org/wiki/Q1479,16,Imported from 20230321_Caa_all.xml
9102,geonames,https://www.geonames.org/6452134,7,Imported from 20230321_Caa_all.xml
9102,wikidata,https://www.wikidata.org/wiki/Q47465,16,Imported from 20230321_Caa_all.xml
9103,geonames,https://www.geonames.org/6538252,7,Imported from 20230321_Caa_all.xml
9103,wikidata,https://www.wikidata.org/wiki/Q47094,16,Imported from 20230321_Caa_all.xml
9104,geonames,https://www.geonames.org/6542116,7,Imported from 20230321_Caa_all.xml
9104,wikidata,https://www.wikidata.org/wiki/Q628,16,Imported from 20230321_Caa_all.xml
9105,geonames,https://www.geonames.org/6541998,7,Imported from 20230321_Caa_all.xml
9105,wikidata,https://www.wikidata.org/wiki/Q1891,16,Imported from 20230321_Caa_all.xml
9106,geonames,https://www.geonames.org/8010483,7,Imported from 20230321_Caa_all.xml
9106,wikidata,https://www.wikidata.org/wiki/Q45412,16,Imported from 20230321_Caa_all.xml
9107,geonames,https://www.geonames.org/3220962,7,Imported from 20230321_Caa_all.xml
9107,wikidata,https://www.wikidata.org/wiki/Q2973,16,Imported from 20230321_Caa_all.xml
9108,geonames,https://www.geonames.org/3009443,7,Imported from 20230321_Caa_all.xml
9108,wikidata,https://www.wikidata.org/wiki/Q343,16,Imported from 20230321_Caa_all.xml
9109,geonames,https://www.geonames.org/2925535,7,Imported from 20230321_Caa_all.xml
9109,wikidata,https://www.wikidata.org/wiki/Q4024,16,Imported from 20230321_Caa_all.xml
9110,geonames,https://www.geonames.org/7285870,7,Imported from 20230321_Caa_all.xml
9110,wikidata,https://www.wikidata.org/wiki/Q36378,16,Imported from 20230321_Caa_all.xml
9111,geonames,https://www.geonames.org/2997456,7,Imported from 20230321_Caa_all.xml
9111,wikidata,https://www.wikidata.org/wiki/Q35719815,16,Imported from 20230321_Caa_all.xml
9112,geonames,https://www.geonames.org/2918632,7,Imported from 20230321_Caa_all.xml
