fm_id,RecordID
4407,9920027680101488
4457,9927684260101488
4838,9915449030101488
4945,9923685980101488
4953,9983958500101488
4954,9983958550101488
4955,9983958630101488
4956,9983958700101488
4957,9983959140101488
4958,9983959160101488
4959,9983959210101488
4960,9983959430101488
4961,9983959490101488
4962,9983959510101488
4963,9983959610101488
4964,9983959770101488
4965,9983959830101488
4966,9983959880101488
4967,9983960000101488
4968,9983960070101488
4969,9983960180101488
4970,9983960310101488
4971,9983960470101488
4972,9983960540101488
4973,9983960580101488
4974,9983963650101488
4975,9983963680101488
4976,9983963750101488
4977,9983963820101488
4978,9983963980101488
4979,9983965120101488
4980,9983965160101488
4987,9983978510101488
4993,9984052750101488
5053,9990638420101488
5169,998761950101488
5348,9992494592301488
5464,9980140740101488
5516,9983928250101488
5517,9983928320101488
5518,9983928440101488
5519,9983928540101488
5520,9983928580101488
5521,9983928690101488
5522,9983928790101488
5523,9983928830101488
5524,9983928910101488
5525,9983928970101488
5533,9983957980101488
5534,9983958050101488
5535,9983958090101488
5536,9983958130101488
5537,9983958160101488
5538,9983958220101488
5539,9983958290101488
5540,9983958330101488
5541,9983958390101488
5542,9983958430101488
5612,9912533970101488
5676,9932179920101488
5697,9935250690101488
5892,9992740100301488
5893,9992740101001488
5898,9993146707101488
6058,9992273903001488
6120,9992245403601488
6237,9980060950101488
6261,9980095560101488
6279,9988205760101488
6313,9989187900101488
