856_z,project_fm_id
Universiteitsbibliotheek Gent,16
Koninklijke Bibliotheek van Nederland,17
Universidad Complutense de Madrid,18
Servizio Bibliotecario Nazionale,19
The British Library,20
Biblioteca nacional de España,21
Bibliothèque municipale de Lyon,22
Bayerische Staatsbibliothek,23
Tilburg University Library,24
Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des 16. Jahrhunderts,25
Österreichische Nationalbibliothek,26
Das Verzeichnis der im deutschen Sprachraum erschienenen Drucke des 17. Jahrhunderts,27
National Library of the Czech Republic,28
Princeton University,29
Université de Lausanne,30
Biblioteca universitaria Alessandrina Roma,31
Biblioteca di Cremona,32
Biblioteca universitaria di Torino,33
Biblioteca nazionale centrale di Roma,34
Henry E. Huntington Library and Art Gallery,35
Universitäts- und Landesbibliothek Sachsen-Anhalt,36
Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden,37
Universitäts- und Stadtbibliothek Köln,38
Biblioteca Casanatense Roma,39
Universitätsbibliothek Basel,40
Biblioteca Casanatense di Roma,41
Biblioteca nazionale di Napoli,42
Biblioteca de Catalunya,43
Museum Plantijn-Moretus,44
Staats- und Stadtbibliothek Augsburg,45
Herzog August Bibliothek Wolfenbüttel,46
Biblioteca nazionale centrale di Firenze,47
Maastricht University Library,48
Staatsbibliothek zu Berlin,49
Museum Plantin-Moretus,50
Museum Plantin Moretus,51
Universiteitsbibliotheek Leiden,52
Thüringer Universitäts- und Landesbibliothek Jena,53
Universiteit Gent,54
Universität Luzern,55
Bibliothèque de Genève,56
Universiteitsbibliotheek Amsterdam,57
Tresoar,58
Centre Céramique Maastricht,59
Universiteitsbibliotheek Nijmegen,60
University of Michigan,61
Biblioteca Angelica Roma,62
Erfgoedbibliotheek Hendrik Conscience Antwerpen,63
Erfgoedbibliotheek Hendrik Conscience,64
Oxford University,65
Universiteitsbibliotheek Groningen,66
University of California,67
Universitätsbibliothek Paderborn,68
Bayersiche Staatsbibliothek,69
Sapienza - Università di Roma,70
University of Wisconsin-Madison Libraries,71
Bibliothèque Municipale de Lyon,72
Staatliche Bibliothek Regensburg,73
Universiteit Utrecht,74
Harvard Library,75
Biblioteca Nacional de España,76
Zentralbibliothek Zürich,77
Universitätsbibliothek Freiburg,78
Cambridge University Library,79
Biblioteca de Montserrat,80
Universitätsbibliothek Leipzig,81
This edition in STCN,82
Bayerische Staatsbibliothek ),83
Niedersächsische Staats- und Universitätsbibliothek Göttingen,84
UCLouvain,85
Tilburg University Library (state,86
Universiteitsbibliotheek Gent ),87
Biblioteca Valenciana Digital,88
Universidad Complutense de Madrid ),89
Biblioteca nacional de Portugal,90
Folger Shakespeare Library,91
Bibliotheque municipale de Lyon,92
Biblioteca Valenciana,93
New York Public Library,94
Universiteit Antwerpen,95
National Library of Romania,96
Biblioteka Narodowa,97
University of Illinois,98
