fm_id,inst_fk,institution_role,import
6429,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6430,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6431,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6432,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6433,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6434,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6435,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6436,0,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6437,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6438,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6439,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6440,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6441,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6442,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6443,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6444,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6445,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6446,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6447,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6448,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6449,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6450,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6451,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6452,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6453,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6454,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6455,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6456,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6457,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6458,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6459,0,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6460,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6461,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6462,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6463,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6464,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6465,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6466,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6467,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6468,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6469,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6470,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6471,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6472,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6473,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6474,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6475,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6476,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6477,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6478,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6479,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6480,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6481,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6482,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6483,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6484,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6485,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6486,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6487,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6488,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6489,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6490,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6491,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6492,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6493,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6494,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6495,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6496,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6497,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6498,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6499,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6500,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6501,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6502,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6503,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6504,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6505,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6506,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6507,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6508,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6509,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6510,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6511,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6512,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6513,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6514,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6515,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6516,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6517,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6518,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6519,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6520,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6521,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6522,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6523,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6524,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6525,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6526,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6527,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6528,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6529,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6530,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6531,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6532,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6533,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6534,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6535,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6536,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6537,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6538,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6539,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6540,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6541,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6542,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6543,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6544,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6545,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6546,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6547,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6548,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6549,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6550,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6551,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6552,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6553,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6554,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6555,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6556,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6557,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6558,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6559,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6560,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6561,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6562,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6563,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6564,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6565,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6566,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6567,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6568,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
