fm_id,link,project_fm_id,import
1577,https://www.ustc.ac.uk/editions/403148,17,Imported from 20230321_Caa_all.xml
1577,https://lib.ugent.be/en/catalog?q=%28bkt01%29000012619,16,Imported from 20230321_Caa_all.xml
1578,http://anet.be/record/stcv/stcvopac/c:stcv:7081322,18,Imported from 20230321_Caa_all.xml
1578,https://books.google.be/books?vid=GENT900000148530,16,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000353727,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372351,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372352,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372353,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372354,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372354,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000353726,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372357,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372366,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372359,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372360,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372361,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372362,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372363,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372364,17,Imported from 20230321_Caa_all.xml
1578,http://books.google.com/books?vid=KBNL:KBNL03000372365,17,Imported from 20230321_Caa_all.xml
1579,https://books.google.be/books?id=LYgfmcQk_8UC,17,Imported from 20230321_Caa_all.xml
