external_id,fm_id,project_fm_id,import
9912778250101488,6969,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912778400101488,6970,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912779680101488,6971,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912779810101488,6972,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912781690101488,6973,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912781880101488,6974,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782030101488,6975,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782100101488,6976,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782180101488,6977,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782850101488,6978,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783740101488,6979,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783880101488,6980,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783980101488,6981,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784040101488,6982,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784150101488,6983,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784260101488,6984,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784410101488,6985,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912785450101488,6986,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912785610101488,6987,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912785800101488,6988,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912785810101488,6989,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912786310101488,6990,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912786510101488,6991,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912786810101488,6992,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912787000101488,6993,24,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
