"1453","1794","52","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.56765","0","0","0","0","3.4492","","05/02/2024 11:47:15","Yanne","Antoing","25","","0","","",""
"1426","1794","4981","1","1","","0","","754","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","51.22047","0","0","0","0","4.40026","","05/02/2024 11:47:15","Yanne","Antwerpen","26","","0","","",""
"1734","1794","4","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.70151","0","0","0","0","3.55433","","05/02/2024 11:47:15","Yanne","Arc-Ainières","27","","0","","",""
"1426","1794","56","","1","","0","","11","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","51.98","0","0","0","0","5.91111","","05/02/2024 11:47:15","Yanne","Arnhem","28","","0","","",""
"1426","1794","140","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.91011","0","0","0","0","4.19836","","05/02/2024 11:47:15","Yanne","Asse","29","","0","","",""
"1426","1794","15","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","51.22598","0","0","0","0","3.75085","","05/02/2024 11:47:15","Yanne","Assenede","30","","0","","",""
"1790","1794","1","","1","","395","Grand Duchy of Luxembourg","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","","395","0","0","0","","","05/02/2024 11:47:15","Yanne","Assenois","31","","0","","",""
"1426","1794","60","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.98512","0","0","0","0","3.56654","","05/02/2024 11:47:15","Yanne","Astene","32","","0","","",""
"1426","1794","458","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.29301","0","0","0","0","2.78186","","05/02/2024 11:47:15","Yanne","Atrecht","33","","0","","",""
"1426","1794","52","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","","0","0","0","0","","","05/02/2024 11:47:15","Yanne","Attenhoven","34","","0","","",""
"1790","1794","1","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.07405","0","0","0","0","5.30471","","05/02/2024 11:47:15","Yanne","Awenne","35","","0","","",""
"1616","1794","3","","1","","395","Grand Duchy of Luxembourg","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.47411","395","0","0","0","5.67684","","05/02/2024 11:47:15","Yanne","Aywaille","36","","0","","",""
"1453","1794","11","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","51.40504","0","0","0","0","4.89226","","05/02/2024 11:47:15","Yanne","Baarle-Hertog","37","","0","","",""
"1790","1794","1","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","","0","0","0","0","","","05/02/2024 11:47:15","Yanne","Bakehom","38","","0","","",""
"1651","1794","11","","1","","0","","","","Admin","07/03/2023 15:48:26","","import from Matrikels2-0_PublicationVersion_20230816","","0","0","0","50.98938","0","0","0","0","5.12693","","05/02/2024 11:47:15","Yanne","Bakel","39","","0","","",""
