"316","Kallo"
"317","Cambrai"
"318","Kampenhout"
"319","Kapelle-op-den-Bos"
"320","Kapellen"
"321","Kaprijke"
"322","Kassel"
"323","Kasteelbrakel"
"324","Kaster"
"325","Kasterlee"
"326","Kerkhove"
"327","Kermt"
"328","Kerry"
"329","Kesselre Elphin"
"330","Kevelaer"
"331","Kieldrecht"
"332","Klein-Vorsen"
"333","Koijl"
"334","Konde"
"335","Kontich"
"336","Kortrijk"
"337","Kraainem"
"338","Kruibeke"
"339","Kruishoutem"
"340","Kuilenburg"
"341","Kwaadmechelen"
"342","La Herije"
"343","Laagnsdonck"
"344","Laar"
"345","Laatwijk"
"346","Lafelt"
"347","Lambusart"
"348","Landas"
"349","Landen"
"350","Langemark"
"351","Langeron"
"352","Latour"
"353","Le Rœulx"
"354","Le Thillot"
"355","Lebbeke"
"356","Lebecq"
"357","Lecelles"
"358","Lederzeele"
"359","Leefdaal"
"360","Leernes"
"361","Leitrim"
"362","Lens"
"363","Lens-Saint-Servais"
"364","Lessen"
"365","Lessenbos"
"367","Leuze"
"368","Leval-Trahegnies"
"369","Lichtaart"
"370","Liek"
"372","Lier bij Maasland"
"373","Ligney"
"374","Ligny"
"375","Lille"
"376","Lillo"
"377","Limburg"
"378","Limelette"
"380","Limont"
"381","Linkebeek"
"382","Lismore"
"383","Lodelinsart"
"384","Lokeren"
"385","Lomprez"
"386","Londerzeel"
"387","Londonderry"
"388","Longueville"
"389","Loon op Zand"
"390","Lubbeek"
"391","Lugano"
"392","Liège"
"393","Lummen"
"394","Lupensis"
"395","Grand Duchy of Luxembourg"
"396","Maarheeze"
"397","Maastricht"
"398","Mainvault"
"399","Maldegem"
"400","Malempré"
"401","Malèves-Sainte-Marie-Wastines"
"402","Marche-en-Famenne"
"403","Marchienne-au-Pont"
"404","Marchin"
"405","Marcinelle"
"406","Mariakerke"
"407","Marrel"
"408","Martilly"
"409","Mechelen"
"410","Meerbeek"
"411","Meerbeke"
"412","Meerhout"
"413","Meerssen"
"414","Meeuwen"
"415","Meigem"
"416","Memmingen"
"417","Menen"
"418","Merbes-le-Château"
"419","Merendree"
"420","Merksem"
"421","Mespelare"
"422","Mettet"
"423","Mezières"
"424","Middelburg"
"425","Middelburg"
"426","Miskom"
"427","Moerbeke"
"428","Moergestel"
"429","Moerzeke"
"430","Moeskroen"
"431","Mol"
"432","Molac"
"433","Molenbeek"
"434","Momignies"
"435","Momonia"
"436","Moneen"
"437","Mont"
"438","Montrœul"
"439","Montzen"
"440","Moorslede"
"441","Morkhoven"
"442","Morlanwelz"
"443","Moustij as Diliam"
"444","Muizen"
"445","Namen"
"446","Naust"
"447","Neerheylissem"
"448","Neerlanden"
"449","Neerlinter"
"450","Neerpelt"
"451","Neufvilles"
"452","Neupont"
"453","Nevele"
"454","Nieuwkerk"
"455","Nieuwpoort"
"456","Nijmegen"
"457","Nijvel"
"458","Nimy"
"459","Ninove"
"460","Noirchain"
"461","Nokere"
"462","Noorderwijk"
"463","Noordpeene"
"464","Noville-les-Bois"
"465","Oelegem"
"466","Oevel"
"467","Offus"
"468","Ogy"
"469","Oirschot"
"470","Oldenzaal"
"471","Olen"
"472","Olmen"
"473","Olne"
"474","Onze-Lieve-Vrouw-Lombeek"
"475","Oorbeek"
"476","Oostende"
"477","Oosterhout"
"478","Oostham"
"479","Oostnieuwkerke"
"480","Oostvleteren"
"481","Oostwinkel"
"482","Ootmarsum"
"483","Opdorp"
"484","Orsmaal-Gussenhoven"
"485","Oss"
"486","Ottignies"
"487","Oud Genepiën"
"488","Oude-Tonge"
"489","Oudekapelle"
"490","Oudenaarde"
"491","Oultremont"
"492","Outer"
"493","Papenhausen"
"494","Papuelles"
"495","Paris"
"496","Park"
"497","Pâturages"
"498","Peer"
"499","Pellen"
"500","Péruwelz"
"501","Perwez"
"502","Petit-Rœulx"
"503","Piétremau"
"504","Pijnacker"
"505","Pilsen"
"506","Pittem"
"507","Pondrôme"
"508","Poperinge"
"509","Porst"
"510","Putscheid"
"511","Putte"
"512","Puurs"
"513","Quaregnon"
"514","Quévy-le-Grand"
"515","Quevy-le-Petit"
"516","Raatshoven"
"517","Ramegnies"
"518","Ramillies"
"519","Ramsdonk"
"520","Ransart"
"521","Ransdorp"
"522","Reck"
"523","Recklinghausen"
"524","Reet"
"525","Reims"
"526","Reningelst"
"527","Rièzes"
"528","Rijmenam"
"529","Rijsel"
"530","Rillaar"
"531","Roermond"
"532","Roeselare"
"533","Ronse"
"534","Roosendaal"
"535","Roosteren"
"536","Roth-Vianden"
"537","Rotterdam"
"538","Rouillon"
"539","Roumont"
"540","Rouveroy"
"541","Roux-Miroir"
"542","Roy"
"543","Ruisbroek"
"544","Rumbeke"
"545","s-Gravenbrakel"
"546","'s-Hertogenbosch"
"547","Saint-Denis"
"548","Saint-Germain"
"549","Saint-Ghislain"
"550","Saint-Hubert"
"551","Saint-Léger"
"552","Sart"
"553","Sartes"
"554","Escanaffles"
"555","Schellebelle"
"556","Schiedam"
"557","Selny"
"558","Sevigny-La-Foret"
"559","Seyssel"
"560","Sinaai"
"561","Sint-Gillis"
"562","Sint-Gillis-Waas"
"563","Sint-Huibrechts-Lille"
"564","Sint-Jansrade"
"565","Sint-Joost-ten-Node"
"566","Sint-Lievens-Houtem"
"567","Sint-Martens-Lennik"
"568","Sint-Margriete-Houtem"
"569","Sint-Maria-Oudenhove"
"570","Sint-Martens-Bodegem"
"571","Sint-Niklaas"
"573","Sint-Oedenrode"
"574","Sint-Omaars"
"575","Sint-Pauwels"
"576","Sint-Pieters-Leeuw"
"577","Sint-Pieters-Woluwe"
"578","Sint-Remigius-Geest"
"579","Sint-Silvesterkappel"
"580","Sint-Truiden"
"581","Sivry"
"582","Sleidinge"
"583","Slijken"
"584","Soerendonk"
"585","Soest"
"586","Sombreffe"
"587","Somzée"
"588","Spa"
"589","Spaubeek"
"590","Spy"
"591","St. Peter's"
"592","Stapel"
"593","Stasse"
"594","Statte"
"595","Stavelot"
"596","Steendorp"
"597","Steensel"
"598","Steenwerck"
"599","Steyl"
"600","Strassen"
"601","Strijpen"
"602","Strijtem"
"603","Strombeek-Bever"
"604","Stuckenbusch"
"605","Taintignies"
"606","Tardais"
"607","Taviers"
"608","Temploux"
"609","Temse"
"610","Terdegem"
"611","Terdek"
"612","Terheiden"
"613","Ternat"
"614","Tessenderlo"
"615","Teteringen"
"616","Thiméon"
"617","Thines"
"618","Thorn"
"619","Thuin"
"620","Tielt"
"621","Tienen"
"622","Tijsoraniensis"
"623","Tilburg"
"624","Tongeren"
"625","Torhout"
"626","Tourcoing"
"627","Trélon"
"628","Trembleur"
"629","Truielingen"
"630","Turnhout"
"631","Uden"
"632","Udenhout"
"633","Ulster"
"634","Upigny"
"635","Utrecht"
"636","Valansart"
"637","Valenciennes"
"638","Vedrin"
"639","Veghel"
"640","Velroux"
"641","Vence"
"642","Venray"
"643","Veurne"
"644","Vianden"
"645","Viane"
"646","Vigniacensis"
"647","Ville-sur-Haine"
"648","Villers"
"649","Villers-le-Peuplier"
"650","Vinkt"
"651","Virelles"
"652","Virton"
"653","Vissenaken"
"654","Viversel"
"655","Vlamertinge"
"656","Vlijmen"
"657","Vlissingen"
"658","Voorburg"
"659","Vorst"
"660","Vrasene"
"661","Waarschoot"
"662","Waasmont"
"663","Waasmunster"
"664","Waasten"
"665","Wakken"
"666","Waldfeucht"
"667","Walsberg"
"668","Walshoutem"
"669","Wandre"
"670","Warken"
"671","Warnath"
"672","Waschenbach"
"673","Waspik"
"674","Wasseiges"
"675","Waterford"
"676","Wateringen"
"677","Waterland-Oudeman"
"678","Waver"
"679","Wavreille"
"680","Ways"
"681","Weert"
"682","Kirchwehren"
"683","Weißenhorn"
"684","Well"
"685","Wemmel"
"686","Wervik"
"687","Westerhoven"
"688","Westerlo"
"689","Westfalen"
"690","Wetteren"
"691","Wexford"
"692","Wezembeek-Oppem"
"693","Wezet"
"694","Wichelen"
"695","Wiekevorst"
"696","Willebroek"
"697","Wiltz"
"698","Wingene"
"699","Winnezele"
"700","Wodeke"
"701","Woensel"
"702","Wommelgem"
"703","Wormhout"
"704","Wortegem"
"705","Wouw"
"706","Zaffelare"
"707","Zandhoven"
"708","Zandvliet"
"709","Zarren"
"710","Zaventem"
"711","Zegelsem"
"712","Zepperen"
"713","Zevenbergen"
"714","Zinnik"
"715","Zoerle-Parwijs"
"716","Zomergem"
"717","Zottegem"
"718","Zundert"
"719","Swabia"
"720","Zwijnaarde"
"722","Bevekom"
"724","Germany"
"725","France"
"727","Italy"
"729","Molenbaix"
"730","Overijse"
"732","Czechia"
"737","Cologne"
"738","Trento"
"740","Rome"
"741","Firenze"
"742","Padua"
"743","Braunschweig"
"744","'s-Gravenhage"
"745","Bolanden"
"748","Netherlands"
"749","Belgium"
"750","England"
"751","Spain"
"752","Aachen"
"753","Aaigem"
"754","Aalbeek"
"755","Aalden"
"756","Aalsmeer"
"757","Aalst? of Amsterdam, Nederland? check"
"758","Aalten"
"759","Aarde"
"760","Aardenburg"
"761","Aarlanderveen"
"762","Aarle"
"763","Aarle-Rixtel"
"764","Aarlen"
"765","Aarsele of Hasselt check"
"766","Aarsele"
"767","Aartselaar"
"768","Abbenbroek"
"769","Abbeville"
"770","Abblaterdamensis"
"771","Abcouda"
"772","Abcoude"
"773","Abdoncanus"
"774","Abeanus"
"775","Abensis"
"776","Aberdeen"
"777","Abkoude"
"778","Abolens"
"779","Abreciniensis"
"780","Abremensis"
"781","Abremiensis"
"782","Abreniensis"
"783","Abridonensis"
"784","Abrive"
"785","Acciniensis"
"786","Acesianus"
"787","Achêne"
"788","Achensis"
"789","Achimaco"
"790","Achranensis"
"791","Ackensis"
"792","Ackianus"
"793","Aclensis"
"794","Acoensis"
"795","Acomiensis"
"796","Acosse"
"797","Actis"
"798","Ade"
"799","Adegelij"
"800","Adegem"
"801","Aden-Wetering"
"802","Admertanensis"
"803","Adorp"
"804","Adorp-Jauche"
