place_fm_id,long,lat,placeLabel,countryLabel,wikidata,intNotes,import
9094,7.752222222,48.573333333,Strasbourg,France,Q6602,Country: France,Imported from 20230321_Caa_all.xml
9095,11.010555555,52.228055555,Helmstedt,Germany,Q486562,Country: Germany,Imported from 20230321_Caa_all.xml
9096,1.261666666,45.834444444,Limoges,France,Q45656,Country: France,Imported from 20230321_Caa_all.xml
9097,7.676111111,45.079166666,Turin,Italy,Q495,Country: Italy,Imported from 20230321_Caa_all.xml
9098,0.1225,52.208055555,Cambridge,United Kingdom,Q350,Country: United Kingdom,Imported from 20230321_Caa_all.xml
9099,9.055555555,48.52,Tübingen,Germany,Q3806,Country: Germany,Imported from 20230321_Caa_all.xml
9100,-0.579444444,44.837777777,Bordeaux,France,Q1479,Country: France,Imported from 20230321_Caa_all.xml
9101,5.445555555,43.527777777,Aix-en-Provence,France,Q47465,Country: France,Imported from 20230321_Caa_all.xml
9102,11.734166666,45.766666666,Bassano del Grappa,Italy,Q47094,Country: Italy,Imported from 20230321_Caa_all.xml
9103,9.67,45.695,Bergamo,Italy,Q628,Country: Italy,Imported from 20230321_Caa_all.xml
9104,11.342777777,44.493888888,Bologna,Italy,Q1891,Country: Italy,Imported from 20230321_Caa_all.xml
9105,-8.428888888,40.211111111,Coimbra,Portugal,Q45412,Country: Portugal,Imported from 20230321_Caa_all.xml
9106,8.65,49.866666666,Darmstadt,Germany,Q2973,Country: Germany,Imported from 20230321_Caa_all.xml
9107,-0.076111111,47.699722222,La Flèche,France,Q343,Country: France,Imported from 20230321_Caa_all.xml
9108,14.551666666,52.342083333,Frankfurt (Oder),Germany,Q4024,Country: Germany,Imported from 20230321_Caa_all.xml
9109,7.15,46.8,Fribourg,Switzerland,Q36378,Country: Switzerland,Imported from 20230321_Caa_all.xml
9110,-0.154444444,47.995833333,Loué,France,Q35719815,Country: France,Imported from 20230321_Caa_all.xml
9111,9.935555555,51.533888888,Göttingen,Germany,Q3033,Country: Germany,Imported from 20230321_Caa_all.xml
