fm_id,link,project_fm_id,import
4191,https://data.cerl.org/stcn/112050093,,Imported from 20230728_Alma_Caa_all.xml
4191,http://gso.gbv.de/DB=1.28/XMLPRS=Y/PPN?PPN=0000110175,24,Imported from 20230728_Alma_Caa_all.xml
4192,http://picarta.pica.nl/DB=3.11/XMLPRS=Y/PPN?PPN=832775851,,Imported from 20230728_Alma_Caa_all.xml
4193,http://estc.bl.uk/S117792,,Imported from 20230728_Alma_Caa_all.xml
4193,http://gateway.proquest.com/openurl?ctx_ver=Z39.88-2003&res_id=xri:eebo&rft_id=xri:eebo:image:18360,36,Imported from 20230728_Alma_Caa_all.xml
4193,https://books.google.be/books?id=i0oV-ZN9LREC,29,Imported from 20230728_Alma_Caa_all.xml
4193,https://www.ustc.ac.uk/editions/407208,17,Imported from 20230728_Alma_Caa_all.xml
4193,https://anet.be/record/stcvopac/c:stcv:12926053,18,Imported from 20230728_Alma_Caa_all.xml
4194,http://anet.be/record/stcv/stcvopac/c:stcv:12912809,18,Imported from 20230728_Alma_Caa_all.xml
4194,https://lib.ugent.be/catalog/bkt01:000388241,22,Imported from 20230728_Alma_Caa_all.xml
4195,http://anet.be/record/stcv/stcvopac/c:stcv:12914142,18,Imported from 20230728_Alma_Caa_all.xml
4195,http://data.onb.ac.at/ABO/%2BZ201431609,35,Imported from 20230728_Alma_Caa_all.xml
4196,http://anet.be/record/stcv/stcvopac/c:stcv:12911262,18,Imported from 20230728_Alma_Caa_all.xml
4196,https://lib.ugent.be/catalog/rug01:001194263,22,Imported from 20230728_Alma_Caa_all.xml
4197,http://anet.be/record/stcv/stcvopac/c:stcv:6829737,18,Imported from 20230728_Alma_Caa_all.xml
4197,http://lib.ugent.be/catalog/bkt01:000234670,22,Imported from 20230728_Alma_Caa_all.xml
4198,https://books.google.be/books?id=dgahtXPiQwgC&pg=PA1,25,Imported from 20230728_Alma_Caa_all.xml
4201,http://anet.be/record/stcv/stcvopac/c:stcv:7095756,18,Imported from 20230728_Alma_Caa_all.xml
4201,http://data.onb.ac.at/ABO/%2BZ155382802,35,Imported from 20230728_Alma_Caa_all.xml
4204,https://www.digitale-sammlungen.de/en/view/bsb10146740,23,Imported from 20230728_Alma_Caa_all.xml
4204,https://www.ustc.ac.uk/editions/400881,17,Imported from 20230728_Alma_Caa_all.xml
4205,https://books.google.be/books?id=XRDbJpE7BpoC,37,Imported from 20230728_Alma_Caa_all.xml
4205,https://books.google.be/books?id=HGd5_3orkpoC,37,Imported from 20230728_Alma_Caa_all.xml
4205,https://books.google.be/books?id=3Ir0ufYRX24C,37,Imported from 20230728_Alma_Caa_all.xml
4205,https://books.google.be/books?id=1ABM_pyQndYC,37,Imported from 20230728_Alma_Caa_all.xml
4205,http://id.sbn.it/bid/UBOE003133,26,Imported from 20230728_Alma_Caa_all.xml
4208,http://anet.be/record/stcv/stcvopac/c:stcv:6607784,18,Imported from 20230728_Alma_Caa_all.xml
4208,https://www.ustc.ac.uk/editions/1003299,17,Imported from 20230728_Alma_Caa_all.xml
4208,https://lib.ugent.be/catalog/bkt01:000397645,22,Imported from 20230728_Alma_Caa_all.xml
4208,http://books.google.be/books?id=6B4gAQAAMAAJ,38,Imported from 20230728_Alma_Caa_all.xml
4208,https://books.google.be/books?id=ch8gAQAAMAAJ,38,Imported from 20230728_Alma_Caa_all.xml
4209,https://www.google.be/books/edition/C_Cornelii_Taciti_Opera_Quae_Exstant/BXvacILb1HIC,39,Imported from 20230728_Alma_Caa_all.xml
4209,https://anet.be/record/stcvopac/c:stcv:6622636/N,18,Imported from 20230728_Alma_Caa_all.xml
4210,https://www.google.be/books/edition/C_Cornelii_Taciti_Opera_quae_exstant_a_I/-cpc-Gq7A6MC,40,Imported from 20230728_Alma_Caa_all.xml
4210,https://anet.be/record/stcvopac/c:stcv:12911427/N,18,Imported from 20230728_Alma_Caa_all.xml
4211,https://www.google.be/books/edition/Opera_quae_exstant_omnia/GUt9R1gRdNYC,41,Imported from 20230728_Alma_Caa_all.xml
4211,https://anet.be/record/stcvopac/c:stcv:6845371/N,18,Imported from 20230728_Alma_Caa_all.xml
4212,https://books.google.be/books?id=YcErAQAAMAAJ,42,Imported from 20230728_Alma_Caa_all.xml
4212,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=14155522X,,Imported from 20230728_Alma_Caa_all.xml
4213,https://anet.be/record/stcvopac/c:stcv:7081813/N,18,Imported from 20230728_Alma_Caa_all.xml
4213,http://data.onb.ac.at/rep/1077820F,35,Imported from 20230728_Alma_Caa_all.xml
4214,https://books.google.be/books?id=302SUKpMN6MC,37,Imported from 20230728_Alma_Caa_all.xml
4214,http://id.sbn.it/bid/UBOE099894,26,Imported from 20230728_Alma_Caa_all.xml
4216,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10198402-8,23,Imported from 20230728_Alma_Caa_all.xml
4216,https://www.ustc.ac.uk/editions/407053,17,Imported from 20230728_Alma_Caa_all.xml
4217,http://id.sbn.it/bid/PUVE021574,26,Imported from 20230728_Alma_Caa_all.xml
4218,http://anet.be/record/stcv/stcvopac/c:stcv:12881628,18,Imported from 20230728_Alma_Caa_all.xml
4218,https://books.google.be/books?id=L72DLc2LtEsC&hl=nl,37,Imported from 20230728_Alma_Caa_all.xml
4219,https://anet.be/record/stcvopac/c:stcv:12914435/N,18,Imported from 20230728_Alma_Caa_all.xml
4219,https://www.ustc.ac.uk/editions/1001517,17,Imported from 20230728_Alma_Caa_all.xml
