"4070","1659","Victoris"
"4078","2539","Vilhelmi"
"4084","2758","Vincencij"
"4088","2758","Vincentii"
"4106","2761","Volpardi"
"4119","1680","Vrient"
"4159","2768","Walteri"
"4160","2767","Walterini"
"4241","2539","Wilelmi"
"4248","2539","Wilhelmis"
"4262","2771","Willebrordi"
"4265","2539","Willelmi"
"4270","2539","Willermi"
"4279","0","Win"
"4281","2772","Winandi"
"4299","2773","Wissonis"
"4321","2776","Wolffardi"
"4359","2772","Wynandi"
"4362","1446","Xanches"
"4445","1795","Zwavonis"
"4454","0","Abrassart"
"4455","0","Acart"
"4456","0","Achten"
"4457","0","Adan"
"4458","0","Aeben"
"4459","0","Aerssen"
"4460","0","Aertnys"
"4461","0","Aerts"
"4462","0","Albot"
"4463","2375","Allard"
"4464","0","Allart"
"4465","0","Alsters"
"4466","0","Anceau"
"4467","0","Anciaux"
"4468","0","Andrien"
"4470","0","Andrieux"
"4471","0","Angillis"
"4472","0","Antheunis"
"4473","0","Arend"
"4474","0","Arnould"
"4475","0","Attenelle"
"4476","0","Audeval"
"4477","0","Audoor"
"4480","0","Baelde"
"4481","0","Baert"
"4482","0","Baes"
"4483","0","Baesen"
"4484","0","Baise"
"4485","0","Baland"
"4486","0","Balant"
"4487","0","Baldwin"
"4488","0","Bals"
"4489","0","Bamps"
"4490","0","Bara"
"4491","0","Bardenhewer"
"4492","0","Barthel"
"4493","0","Barthelemij"
"4494","0","Basteyns"
"4495","0","Bastians"
"4496","2148","Baten"
"4497","0","Bauchau"
"4498","0","Baudé"
"4499","0","Baudouin"
"4500","0","Bauduin"
"4501","0","Baufaux"
"4502","0","Baugniet"
"4503","0","Bauwens"
"4504","0","Bax"
"4505","0","Baydry"
"4506","0","Bazun"
"4507","0","Becaers"
"4508","0","Beckers"
"4509","0","Becqué"
"4510","0","Beels"
"4511","0","Behagel"
"4512","0","Beijgaert"
"4513","0","Belckx"
"4514","0","Belderock"
"4515","0","Bellen"
"4516","0","Bemelmans"
"4517","0","Bennaert"
"4518","0","Benoit"
"4519","0","Berancon"
"4520","0","Berckmans"
"4521","0","Berens"
"4522","0","Berkers"
"4523","0","Berntz"
"4524","0","Berten"
"4525","0","Bertrand"
"4526","0","Bervoets"
"4527","0","Beten"
"4528","0","Beydens"
"4529","0","Biemans"
"4530","0","Bienevot"
