tag_001,IE PID,value,url
9992408054301488,IE15346324,https://lib.is/IE15346324/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1850
9992423306701488,IE15347422,https://lib.is/IE15347422/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1851
9992467506901488,IE15348861,https://lib.is/IE15348861/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1852
9992473708801488,NA,NA,NA
9992475809401488,IE15351984,https://lib.is/IE15351984/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1853
9992549499201488,IE14631605,https://lib.is/IE14631605/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1837
9992549879801488,IE14636278,https://lib.is/IE14636278/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1835
9992549884401488,IE14634228,https://lib.is/IE14634228/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1836
9992549892801488,IE14628761,https://lib.is/IE14628761/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1840
9992550090001488,IE14641865,https://lib.is/IE14641865/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1833
9992551509201488,IE14648013,https://lib.is/IE14648013/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1832
9992552106201488,IE14644777,https://lib.is/IE14644777/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1830
9992552206501488,IE14643497,https://lib.is/IE14643497/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1831
9992553310301488,IE14646981,https://lib.is/IE14646981/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1829
9992560289301488,IE14773064,https://lib.is/IE14773064/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1827
9992560779401488,IE15353250,https://lib.is/IE15353250/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1854
9992560883901488,IE14771102,https://lib.is/IE14771102/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1828
9992565509601488,IE15354636,https://lib.is/IE15354636/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1856
9992573109501488,IE15354000,https://lib.is/IE15354000/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1855
9992598304101488,NA,NA,NA
9992628399301488,NA,NA,NA
9992685306901488,IE16080681,NA,NA
9992686809401488,IE16094896,NA,NA
9992687696801488,IE16125271,NA,NA
9992688209301488,IE16082021,NA,NA
9992688508901488,IE16078881,NA,NA
9992690599001488,NA,NA,NA
9992700003501488,NA,NA,NA
9992712692401488,NA,NA,NA
9992721407401488,NA,NA,NA
9992722095801488,NA,NA,NA
9992722096001488,NA,NA,NA
9992722096101488,NA,NA,NA
9992722098101488,NA,NA,NA
9992729892801488,NA,NA,NA
