856_z
NA
Universiteitsbibliotheek Gent
Koninklijke Bibliotheek van Nederland
Bayerische Staatsbibliothek
Universidad Complutense de Madrid
Biblioteca nazionale centrale di Roma
Biblioteca nacional de España
The British Library
Bibliothèque municipale de Lyon
Biblioteca nacional de Portugal
Tilburg University Library
Bibliothèque nationale de France
Universiteit Antwerpen
National Library of the Czech Republic
Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden
Österreichische Nationalbibliothek
Universitätsbibliothek Basel
Université de Lausanne
Universitätsbibliothek Bern
University of Oxford
Princeton University
Biblioteca universitaria Alessandrina Roma
Biblioteca di Cremona
Biblioteca universitaria di Torino
Henry E. Huntington Library and Art Gallery
Biblioteca nazionale centrale di Firenze
Universitäts- und Landesbibliothek Sachsen-Anhalt
Bibliothèque de Genève
Universitäts- und Stadtbibliothek Köln
Biblioteca Casanatense Roma
Universiteitsbibliotheek Amsterdam
Biblioteca Casanatense di Roma
Biblioteca nazionale di Napoli
Biblioteca de Catalunya
Museum Plantijn-Moretus
Columbia University
Staats- und Stadtbibliothek Augsburg
Herzog August Bibliothek Wolfenbüttel
Maastricht University Library
Staatsbibliothek zu Berlin
Museum Plantin-Moretus
Dolnośląska Biblioteka Cyfrowa
Museum Plantin Moretus
Universiteitsbibliotheek Leiden
Thüringer Universitäts- und Landesbibliothek Jena
Universiteit Gent
Universität Luzern
Tresoar
Centre Céramique Maastricht
Sapienza - Università di Roma
Universiteitsbibliotheek Nijmegen
University of Michigan
ETH-Bibliothek Zürich
Biblioteca Angelica Roma
Biblioteca Statale di Cremona
Erfgoedbibliotheek Hendrik Conscience Antwerpen
Erfgoedbibliotheek Hendrik Conscience
Bibliothèque municipale de Lyon
Universiteitsbibliotheek Groningen
Oxford University
University of California
Universitätsbibliothek Paderborn
Ohio State University
Bodleian Library
Bayersiche Staatsbibliothek
University of Wisconsin-Madison Libraries
Bibliothèque Municipale de Lyon
Niedersächsische Staats- und Universitätsbibliothek Göttingen
Universitäts- und Landesbibliothek Düsseldorf
Staatliche Bibliothek Regensburg
Universiteit Utrecht
Harvard Library
Biblioteca Nacional de España
Zentralbibliothek Zürich
Universitätsbibliothek Freiburg
Universitätsbibliothek Heidelberg
Staatsbibliothek Bamberg
Cambridge University Library
Biblioteca de Montserrat
Universitätsbibliothek Leipzig
This edition in STCN
Bayerische Staatsbibliothek (State A)
Bayerische Staatsbibliothek (state A)
UCLouvain
Biblioteca Pública Episcopal del Seminari Conciliar de Barcelona
Tilburg University Library (state B)
National Library of Israel
Universiteitsbibliotheek Gent (state A)
Biblioteca Valenciana Digital
Universidad Complutense de Madrid (state A)
Folger Shakespeare Library
Bibliotheque municipale de Lyon
Biblioteca Valenciana
New York Public Library
Bibliotheek Universiteit Antwerpen
Duke University
National Library of Romania
Biblioteka Narodowa
University of Illinois
