"descriptor","place_id_fk"
"de Everzwaert","3061"
"de Evine villagio","0"
"de Evodio","0"
"de Exaten","3066"
"de Exel","182"
"de Exelen","182"
"de Eyck","2859"
"de Eyghem","0"
"de Eyghenbilsen","2854"
"de Eygmonda","2848"
"de Eykelsbeke","2866"
"de Eylsom","0"
"de Eynchusen","2948"
"de Eynchust","2948"
"de Eyndoven","180"
"de Eyndovia","180"
"de Eyntdovia","180"
"de Ezens","3013"
"de Fal","0"
"de Falacio","3092"
"de Falcoberga","8180"
"de Falcomonte","3105"
"de Falconissa","8182"
"de Falkeborch","8180"
"de Falkenbergha","8179"
"de Faone le Roelz","3108"
"de Farcen","3099"
"de Farcinis","3099"
"de Faukenberga","8179"
"de Favantria","0"
"de Favernes","3111"
"de Favona","0"
"de Feenz","0"
"de Felkicht","0"
"de Feluco","198"
"de Feluytio","198"
"de Fenaco","0"
"de Fenis","0"
"de Ferman","0"
"de Feron","3133"
"de Ferrara","3134"
"de Ferro","0"
"de Fertinio","0"
"de Ferventio","0"
"de Festinaco","0"
"de Fienis","3145"
"de Fiernis","0"
"de Filandia","3151"
"de Filfordia","8407"
"de Filvordia","8407"
"de Fimaco","211"
"de Finaco","211"
"de Fine","0"
"de Finingle","0"
"de Finlandia","3151"
"de Fize","3158"
"de Flandria","8447"
"de Flenico","0"
"de Flenmalia","3168"
"de Flerico","3173"
"de Fleruco","3173"
"de Fleternis","8820"
"de Fleurico","3173"
"de Fleuruco","3173"
"de Flinis","3178"
"de Flobeca","8468"
"de Flobecca","8468"
"de Floberca","8468"
"de Floberta","8468"
"de Floborca","8468"
"de Florbecque","3180"
"de Floreffia","3183"
"de Florefia","3183"
"de Florenis","202"
"de Florennis","202"
"de Florensis","202"
"de Florentia","741"
"de Floribasio","0"
"de Florico","3173"
"de Florinis","202"
"de Florishasio","0"
"de Floruco","3173"
"de Floruto","3173"
"de Floyen","3192"
"de Floyon","3192"
"de Flurco","0"
"de Flurico","0"
"de Flynco","0"
"de Follonia","8334"
"de Folonia","8334"
"de Folschaer","0"
"de Font","203"
"de Fontaignes","203"
"de Fontaignies","0"
"de Fontainis","203"
"de Fontanis","203"
"de Fontayn","3199"
"de Fonte","203"
"de Fonteynis","203"
"de Fontibus Episcopi","203"
"de Fontignies","3203"
"de Foo","3204"
"de Fora","0"
"de Foresto","659"
"de Forgundia","0"
"de Formella","0"
"de Formellis","0"
"de Fornis","643"
"de Fortelio juxta Hesdinium","3226"
"de Foss","0"
"de Fossa","4134"
"de Fosse","3229"
"de Fossioul","3232"
"de Fossis","3231"
"de Foux prope Jaciam in Brabantia","0"
"de Foxdal","0"
"de Foye","3236"
"de Fracscinis","3263"
"de Fracxinis","0"
"de Fraenken","206"
"de Francfordia","3256"
"de Francia","0"
"de Francker","206"
"de Francvi","0"
"de Franecker","206"
"de Franeka","206"
"de Franekair","206"
"de Franeker","206"
"de Franekern","206"
"de Franica","206"
"de Franiche","206"
"de Franickaer","206"
"de Franicke","206"
"de Franika","206"
"de Franker","206"
"de Frannecker","206"
"de Fransinis","208"
"de Fraxcenis","208"
"de Fraxenis","208"
"de Fraxineto","208"
"de Fraxinis","208"
"de Fraxinius","208"
"de Fraxinus","208"
"de Freeker","0"
"de Freneker","206"
"de Freniker","206"
"de Frenneker","206"
"de Frensburch","0"
"de Freris","8522"
"de Fressein","8501"
"de Frevery","0"
"de Frisia","3282"
"de Fronvilla","3290"
"de Fronville","3290"
"de Frouwtel","0"
"de Fulfordia","8407"
"de Fulonia","8334"
"de Fumaco","211"
"de Funaco","211"
"de Fura","0"
"de Furis","0"
"de Furnaco","0"
"de Furnia","643"
"de Furnis","643"
"de Fyenes","0"
"de Fynaco","211"
"de Fynlandia","3151"
"de Gaavere","3332"
"de Gabin","0"
"de Gadunda","0"
"de Gael","3303"
"de Gaerebeke","258"
"de Gaesbecka","3304"
"de Gaesbeeck","3304"
"de Gaesbeke","3304"
"de Galmardia","213"
"de Ganda","0"
"de Gandavo","225"
"de Gandecourt","3576"
"de Gandensis","225"
"de Gandonia","0"
"de Gandovo","225"
"de Gangelt","3356"
"de Gapinghen","0"
"de Garbeka","3750"
"de Gardinis","0"
"de Gasebeke","3304"
"de Gasselte","3326"
"de Gassendelf","1100"
"de Gastel","214"
"de Gastele","5999"
"de Gastelleto","2244"
"de Gastelt","214"
"de Gauda","3621"
"de Gavere","3332"
"de Gaveren","3332"
"de Gedina","3341"
"de Gedinia","3341"
"de Geel","215"
"de Geele","215"
"de Geell","215"
"de Geemart","223"
"de Geervliet","3344"
"de Geest","3345"
"de Geffen","0"
"de Geisteren","3355"
"de Geldonia","218"
"de Geldonia Superiori","6409"
"de Geldonio","218"
"de Geldonis","218"
"de Geldorp","220"
"de Geldria","3360"
"de Geldrop","220"
"de Geldropia","220"
"de Gele","215"
"de Gell","215"
"de Gelria","3360"
"de Gemapia","312"
"de Gemblaco","3385"
"de Gemeffia","0"
"de Gemert","223"
"de Gemlaco","3385"
"de Gemp","3389"
"de Genaco","0"
"de Genapia","3392"
"de Genappia","3392"
"de Genblaco","3385"
"de Gendiniria","0"
"de Gendraco","3394"
"de Genep","3405"
"de Genepia","3392"
"de Genepio","3397"
"de Geneppia","3392"
"de Gener","0"
"de Genia","0"
"de Genino","0"
"de Genippia","3405"
"de Gennip","3405"
"de Gentinia","0"
"de Gentinne","226"
"de Genua","3415"
"de Genvalia","3416"
"de Gerademonte","227"
"de Geradimonte","227"
"de Geraeldi Monte","227"
"de Geraldemonte","227"
"de Geraldi Monte","227"
"de Geraldimonte","227"
"de Geraldo Monte","227"
"de Gerard Monte","227"
"de Gerardemonte","227"
"de Gerardi Monte","227"
"de Gerardi Monti","227"
"de Gerardimonte","227"
"de Gerardomonte","227"
"de Gerarldimonte","227"
"de Gerin","3428"
"de Gerpinia","3433"
"de Gervia","0"
"de Gervliet","3344"
"de Gestel","228"
"de Gestele","228"
"de Gestell","228"
"de Gestelle","228"
"de Gestile","228"
"de Gestis","3347"
"de Gesto","3347"
"de Gesto Sancte Johannis","7511"
"de Gesto Sancti Johannis","7511"
"de Gesto Sancti Remigii","578"
"de Gever","4665"
"de Gevre","4665"
"de Ghama","0"
"de Ghanert","0"
"de Ghayon","0"
"de Gheel","215"
"de Gheele","215"
"de Gheelroy","3377"
"de Gheemaert","223"
"de Gheener","0"
"de Gheer","0"
"de Gheeresdonck","0"
"de Gheerfliet","3344"
"de Gheertvliet","3344"
"de Gheervliet","3344"
"de Gheest","3346"
"de Gheestel","228"
"de Gheffen","3350"
"de Ghel","0"
"de Ghelapbeke","3508"
"de Gheldonia","218"
"de Gheldrop","220"
"de Gheldrope","220"
"de Ghele","215"
"de Ghelee","3368"
"de Ghelria","3361"
"de Ghels","0"
"de Ghelsbeke","8836"
"de Ghemart","223"
"de Ghemeert","223"
"de Ghemeppe","4655"
"de Ghemert","223"
"de Ghenapia","224"
"de Ghenck","3402"
"de Gherardi Monte","227"
"de Gherardimonte","227"
"de Gherpinia","3433"
"de Gheruelit","3344"
"de Ghervliet","3344"
"de Gherwen","3438"
"de Ghest","3347"
"de Ghestel","228"
"de Ghestele","228"
"de Ghestell","228"
"de Ghestelt","228"
"de Gheverdinchove","231"
"de Ghierel","230"
"de Ghierl","230"
"de Ghierle","230"
"de Ghiervliet","3344"
"de Ghiestele","3501"
"de Ghifke","0"
"de Ghilse","3487"
"de Ghilzen","3487"
"de Ghine","0"
"de Ghingelen","234"
"de Ghinghelem","234"
"de Ghinghelun ultra","234"
"de Ghisegnies","3465"
"de Ghistella","3501"
"de Ghits","3503"
"de Ghoes","3550"
"de Ghoricon","238"
"de Ghostel","214"
"de Ghouree","3542"
"de Ghous","3550"
"de Ghurle","230"
"de Ghuscuto","0"
"de Ghysen","3475"
"de Ghyssen","3475"
"de Gierle","230"
"de Giersis","0"
"de Gierste","0"
"de Gieverwine","0"
"de Gijnck","3402"
"de Gilbrech","0"
"de Gileto","0"
"de Gilingio","3371"
"de Gilio","0"
"de Gils","3487"
"de Gilse","3487"
"de Gimblaco","3385"
"de Gimmelaco","3385"
"de Ginblaco","3385"
"de Gingelen","234"
"de Gingelim","234"
"de Gingelom","234"
"de Ginselom","234"
"de Ginvalia","3416"
"de Girle","230"
"de Girs","0"
"de Gisp","0"
"de Gissen","3475"
"de Gistel","3501"
"de Gistella","3501"
"de Gits","3503"
"de Giverijchoeve","231"
"de Giveto","3504"
"de Giveto Joannis","3504"
"de Glabbay","3507"
"de Glabbeeck","3507"
"de Glabbeka","3507"
"de Glabbeke","3507"
"de Glabech","3507"
"de Gladio","0"
"de Glagion","3513"
"de Glaion","3513"
"de Glasco","3518"
"de Glasgo","3518"
"de Glatz","0"
"de Glayon","3513"
"de Glem","0"
"de Glenoy","0"
"de Glimis","3521"
"de Glinden","221"
"de Goberville","3620"
"de Godeca","0"
"de Godefridi Campo","236"
"de Goden","0"
"de Goderede","3542"
"de Goderzee","0"
"de Godio","0"
"de Godrificampo","236"
"de Godsenhoven","3553"
"de Godtsenhoven","3553"
"de Goechem","0"
"de Goedere","3542"
"de Goederzee","3542"
"de Goedsenhoeven","3553"
"de Goedsenhoven","3553"
"de Goele","2532"
"de Goere","3542"
"de Goerede","3542"
"de Goeree","3549"
"de Goerghem","238"
"de Goerkeem","238"
"de Goerkem","238"
"de Goerkom","238"
"de Goerl","3562"
"de Goerp","3596"
"de Goerse","3601"
"de Goersenhoeve","0"
"de Goerssen","3601"
"de Goerzee","3542"
"de Goes","3550"
"de Goese","3550"
"de Goesenhoven","3553"
"de Goesleto","239"
"de Goess","3550"
"de Goesse","3550"
"de Goest","3550"
"de Goetsenhouwen","3553"
"de Goetsenhove","3553"
"de Goetsenhoven","3553"
"de Goetsenhovia","3553"
"de Goetshoven","3553"
"de Goetsnoven","3553"
"de Gogenhoven","3757"
"de Goij","3466"
"de Goirckum","238"
"de Goirzee","3563"
"de Goldenstain","0"
"de Gombruco","0"
"de Goncourt","3574"
"de Gondecourt","3576"
"de Gondecuria","3576"
"de Gondicuria","3576"
"de Gonomontis","0"
"de Gootsnoven","3553"
"de Gopting","0"
"de Gorchem","238"
"de Gorchom","238"
"de Gorchum","238"
"de Gorckem","238"
"de Gorckom","238"
"de Gorcom","238"
"de Gorcomio","238"
"de Gorcum","238"
"de Gordersom","0"
"de Gordun","3592"
"de Gore","0"
"de Gorga","0"
"de Gorge","0"
"de Gorgom","238"
"de Gorichom","238"
"de Goricom","238"
"de Gorkem","238"
"de Gorkom","238"
"de Gorkum","238"
"de Gorle","0"
"de Goroeninga","245"
"de Gorra","3588"
"de Gorre","3597"
"de Gorria","0"
"de Gorriconi","0"
"de Gorsey","3603"
"de Gorsville","0"
"de Gosleto","239"
"de Gosseleto","239"
"de Gossleto","239"
"de Gotem","3616"
"de Gotsenhoven","3553"
"de Gouda","3621"
"de Goude","0"
"de Gouden","0"
"de Goudonck","0"
"de Gougny","3623"
"de Gouillain","0"
"de Gous","3550"
"de Gouscheleto","239"
"de Gousleto","239"
"de Goutsenhoven","3553"
"de Gouy","3628"
"de Gox","0"
"de Goy","0"
"de Goys","0"
"de Gra","3679"
"de Gracht","0"
"de Gracia","0"
"de Gradatach","0"
"de Graft","3646"
"de Grainloys","0"
"de Grammis","3650"
"de Grania","0"
"de Grannis","3672"
"de Grantsaert","0"
"de Grasen","3684"
"de Grauenbergis","3266"
"de Grava","0"
"de Gravelinghis","3696"
"de Gravelingis","3696"
"de Gravenpolder","7208"
"de Gravensande","7211"
"de Graverne","0"
"de Gravesant","7211"
"de Gravezant","7211"
"de Gravi Linguae","0"
"de Gravia","3680"
"de Gravinga","0"
"de Gravio","3680"
"de Gre","0"
"de Greco","0"
"de Gredis","3648"
"de Grelle","0"
"de Grelwevelt","3379"
"de Gressenich","3695"
"de Grevelinghen","3696"
"de Grevelingis","3696"
"de Griaco","0"
"de Grimberc","244"
"de Grimberch","244"
"de Grimberghe","244"
"de Grimberghen","244"
"de Grimberghis","244"
"de Grimbergis","244"
"de Grimme","3702"
"de Grineto","0"
"de Gringniaco","0"
"de Groenendale","3709"
"de Groeninga","245"
"de Groeningen","245"
"de Groeningha","245"
"de Groeninghe","245"
"de Groeninghen","245"
"de Groenynga","245"
"de Groenyngha","245"
"de Groenynghe","245"
"de Groetbrogel","3733"
"de Groetgelmen","3721"
"de Grollis","0"
"de Groninga","245"
"de Groninge","245"
"de Groningen","245"
"de Groningha","245"
"de Groninghe","245"
"de Groninghen","245"
"de Gronynghen","245"
"de Grootloen","3722"
"de Grosso Castro","0"
"de Grou","3737"
"de Grubbenvorst","3740"
"de Gruda","3707"
"de Grueda","3707"
"de Grueninge","245"
"de Grueningen","245"
"de Grueningha","245"
"de Grueninghe","245"
"de Grueninghen","245"
"de Gruenninghe","245"
"de Gruenynghen","245"
"de Gruiningha","245"
"de Gruminghe","245"
"de Grunenga egens","245"
"de Grunighe","245"
"de Gruninga","245"
"de Gruninge","245"
"de Gruningen","245"
"de Gruningha","245"
"de Gruninghe","245"
"de Gruninghen","245"
"de Grunynga","245"
"de Grunynghe","245"
"de Grunynghen","245"
"de Grupon","3748"
"de Gruta","0"
"de Gruwtrode","3742"
"de Gruyninghe","245"
"de Gruyninghen","245"
"de Grybergis","244"
"de Grymberghen","244"
"de Guarenna","0"
"de Guderee","3542"
"de Gueildrop","220"
"de Guerpi","0"
"de Gues","3550"
"de Guetem","0"
"de Gugoven","3757"
"de Guigoven","3757"
"de Guldonia","218"
"de Gurilerep","0"
"de Guyeto","3504"
"de Gworken","238"
"de Gyerll","230"
"de Gyneken","3496"
"de Gyneto","0"
"de Gyngelym","234"
"de Gyorle","0"
"de Gysp","0"
"de Gyspse","0"
"de Gystella","3501"
"de Haarlem","3929"
"de Habordinia","776"
"de Hacernia","0"
"de Hachin","0"
"de Hacht","3774"
"de Hackendevel","3806"
"de Hackendevele","3806"
"de Hackendovel","3806"
"de Hactreick","0"
"de Hadelberga","4074"
"de Haderwyc","3915"
"de Hadinton","3782"
"de Haecht","3774"
"de Haeckenduvel","3806"
"de Haeften","3775"
"de Haekendevel","3806"
"de Haelwyn","3814"
"de Haemert","4132"
"de Haemste","3776"
"de Haemstede","3776"
"de Haemsterdammis","17"
"de Haendijck","944"
"de Haerbroic","265"
"de Haerebeke","258"
"de Haerlam","250"
"de Haerlebecke","258"
"de Haerlebeeck","258"
"de Haerleem","250"
"de Haerlem","250"
"de Haerlinghen","3933"
"de Haernt","0"
"de Haerschot","3786"
"de Haes","0"
"de Haesbroec","265"
"de Haesbroeck","265"
"de Haesbroek","265"
"de Haesbroic","265"
"de Haesbroick","265"
"de Haesbrouc","265"
"de Haesbrouch","265"
"de Haesbrouck","265"
"de Haesbroucq","265"
"de Haesdonc","3778"
"de Haesdonck","3778"
"de Haestrecht","3779"
"de Haestricht","3779"
"de Hafma [Hafnia]","4807"
"de Haga","0"
"de Haga Comitis","155"
"de Hagacomitis","155"
"de Hage Comitis","155"
"de Hagha Comitis","155"
"de Haghacomitis","155"
"de Haghis","155"
"de Haght","3774"
"de Hagijs","155"
"de Hagis","155"
"de Hahis","0"
"de Haick","0"
"de Haine","0"
"de Hainkensant","4087"
"de Hairlinghen","3933"
"de Hakendevel","3806"
"de Hakendove","3806"
"de Hakendovel","3806"
"de Hakenduvel","3806"
"de Halangia insula","0"
"de Halbania","0"
"de Halcmaria","865"
"de Haldersteijn","3811"
"de Hale","251"
"de Halem","3813"
"de Halen","251"
"de Halenis","251"
"de Halfen","860"
"de Halis","0"
"de Halle","252"
"de Hallenbergho","0"
"de Halleo","0"
"de Halles","0"
"de Hallio","0"
"de Hallis","252"
"de Hallusto","5"
"de Halmer","0"
"de Halseberghe","882"
"de Halsembarghis","882"
"de Halsenberch","882"
"de Halsenberghe","882"
"de Halstris","255"
"de Haltere","249"
"de Halteris","0"
"de Haltria","0"
"de Halusto","5"
"de Ham","3837"
"de Hamalia","0"
"de Hamana","0"
"de Hamaria","3842"
"de Hamborch","3844"
"de Hamburch","3844"
"de Hamburgh","3844"
"de Hamburgo","3844"
"de Hamedia","4888"
"de Hamerste","0"
"de Hameyda","4888"
"de Hammalia","0"
"de Hamme","3849"
"de Hammis","3849"
"de Hammont","256"
"de Hamoir","3856"
"de Hamont","256"
"de Hamptia","3862"
"de Hamste","5999"
"de Hamstede","3776"
"de Hamstee","3776"
"de Hamstel","930"
"de Hamsterdam","17"
"de Hamsterdammis","17"
"de Han","0"
"de Hanbeka","0"
"de Hanckelvort","0"
"de Handenbino","0"
"de Handtwerpia","26"
"de Handwerpia","26"
"de Hanefia","3871"
"de Hanessis","0"
"de Haneste","0"
"de Hanez","0"
"de Hangia","175"
"de Hanis","0"
"de Hannonia","4144"
"de Hannuta","257"
"de Hannuto","257"
"de Hannuto [a Flo]","0"
"de Hanret","3886"
"de Hansbeke","3887"
"de Hanserensse","0"
"de Hansimme","3904"
"de Hansluco","0"
"de Hansten","0"
"de Hansuperlysam","3865"
"de Hanswico","3898"
"de Hant","0"
"de Hanteau","3899"
"de Hantiscota","4374"
"de Hantverpia","26"
"de Hantwerpia","26"
"de Hantyerpia","26"
"de Hanuto","257"
"de Hap","0"
"de Hapart","4963"
"de Happaert","4963"
"de Happart","4963"
"de Happencourt","3906"
"de Hapternaco","2814"
"de Harbimonte","0"
"de Harchia","3910"
"de Harchies","3910"
"de Harderwijck","3914"
"de Harderwyck","3915"
"de Hardoeij","1029"
"de Haren","3920"
"de Harendonck","1037"
"de Hargis","0"
"de Harilla","0"
"de Harinckuysa","3925"
"de Haringhe","7070"
"de Harlaam","250"
"de Harlbeca","258"
"de Harlebeca","258"
"de Harlebeka","258"
"de Harlebeke","258"
"de Harleem","250"
"de Harlem","5999"
"de Harlemonte","3930"
"de Harlen","250"
"de Harleys","0"
"de Harliaco","4191"
"de Harliers","0"
"de Harlijnghen","3933"
"de Harlinghe","3933"
"de Harlinghem","3933"
"de Harlinghen","3933"
"de Harlm","250"
"de Harlune","764"
"de Harlynghen","3933"
"de Harn","0"
"de Harnem","28"
"de Haroo","3943"
"de Harreo","0"
"de Harscot","7"
"de Harsel","0"
"de Harselt","4212"
"de Harsselt","0"
"de Hartbanio","0"
"de Hasebroca","265"
"de Hasebroech","265"
"de Hasebroeck","265"
"de Hasebrouc","265"
"de Hasebrouck","265"
"de Hasenberghe","3958"
"de Hasenbrouck","265"
"de Hasesdonck","3778"
"de Haslo","0"
"de Haspra","0"
"de Hassel","0"
"de Hasselbroech","265"
"de Hasselbroeck","3964"
"de Hasselt","260"
"de Hassenberghen","3958"
"de Hassene","1099"
"de Hassia","4240"
"de Hasta","0"
"de Haste","0"
"de Hasten","32"
"de Hasteria","3971"
"de Hastier","3970"
"de Hastingen","0"
"de Hat","8"
"de Hatz","0"
"de Hauchin","0"
"de Hauhoten","0"
"de Haultraing","4003"
"de Haurich","1143"
"de Haurick","1143"
"de Hauseligne","0"
"de Hautem","4465"
"de Hauthem","4465"
"de Hauwaert","4477"
"de Hauwert","4477"
"de Hauwerto","4477"
"de Havenstede","4011"
"de Havere","0"
"de Haverech","4019"
"de Havernas","1167"
"de Haysdonck","0"
"de Hazebrouc","265"
"de Hazebrouca","265"
"de Hazebrouck","265"
"de Hazebroucke","265"
"de Hazin","0"
"de Hebis","4048"
"de Hebre","4030"
"de Heccx","269"
"de Hechtel","4033"
"de Hechtelt","4033"
"de Heddinio","4232"
"de Hedelle","0"
"de Heede","4047"
"de Heel","0"
"de Heemert","4132"
"de Heemstede","3776"
"de Heemsterck","4051"
"de Heenvliet","4052"
"de Heer","4053"
"de Heer Castro","4053"
"de Heerborch","0"
"de Heere","4056"
"de Heerentals","277"
"de Heerlem","250"
"de Heersiaux","4210"
"de Heese","4062"
"de Heeswyc","4067"
"de Heeswyck","4067"
"de Heevria","4261"
"de Heez","4068"
"de Heeze","4068"
"de Hegmonda","2848"
"de Heijda","7875"
"de Heijnsborch","4089"
"de Heijst","267"
"de Heildesim","4266"
"de Heilem","0"
"de Heise","0"
"de Heisia","0"
"de Heist","267"
"de Helbeka","0"
"de Helbeke","258"
"de Helcheren","270"
"de Helchteren","270"
"de Helchtris","270"
"de Helctris","270"
"de Heldegrem","4097"
"de Heldernis","2594"
"de Heldino","4095"
"de Heldmont","271"
"de Heldrecht","4099"
"de Helem","4104"
"de Helichem","4266"
"de Helichen","4266"
"de Helkin","4112"
"de Hell","4113"
"de Hellensvoyrt","3822"
"de Hellesim","4266"
"de Hellis","0"
"de Hellyssem","4266"
"de Helmont","271"
"de Helmonte","271"
"de Helsbeke","4357"
"de Helshaven","4123"
"de Helsingia","4124"
"de Helvart","4127"
"de Helvelzeel","2906"
"de Helverenbeka","287"
"de Helverseele","2906"
"de Helversele","2906"
"de Helvort","4127"
"de Helwalscapel","0"
"de Hemart","4132"
"de Hembeke","4524"
"de Hemeda","2910"
"de Hemelghem","2911"
"de Hemelis","2912"
"de Hemmesen","4134"
"de Hemsen","4134"
"de Hemsterdammis","17"
"de Henchusia","2948"
"de Hendengieix","0"
"de Hendescota","4374"
"de Heneffia","3871"
"de Henile","0"
"de Henkensant","4087"
"de Henkesant","4087"
"de Henlier","0"
"de Hennef","3871"
"de Henniaco","4146"
"de Henouliet","0"
"de Henr","0"
"de Henricoert","4153"
"de Henvliet","4052"
"de Hepgun","0"
"de Heppengies","274"
"de Hepternaco","2814"
"de Heranssenus","0"
"de Herbovia","0"
"de Hercia","275"
"de Hercivado","0"
"de Herck","5999"
"de Herck prope Halen","279"
"de Hercke","4184"
"de Herckenroyde","4186"
"de Herclinia","2996"
"de Herderssem","0"
"de Herderwijc","3915"
"de Herderwyck","3915"
"de Herdesom","4176"
"de Here","4053"
"de Herent","276"
"de Herentaels","277"
"de Herentals","277"
"de Herentalz","277"
"de Herentas","277"
"de Herentaud","278"
"de Herenthals","277"
"de Herenthalst","277"
"de Herenthas","277"
"de Herenthout","278"
"de Herentoudt","278"
"de Herentout","278"
"de Herffelinghe","4179"
"de Herina","4182"
"de Herine","4182"
"de Herke","0"
"de Herlam","250"
"de Herlebeka","258"
"de Herlem","250"
"de Herlembeka","0"
"de Herlemia","250"
"de Herlin","0"
"de Herlingen","3933"
"de Herlinghe","3933"
"de Herlinghen","3933"
"de Herluno","0"
"de Hermal","4193"
"de Hermelghem","280"
"de Hermeton","4196"
"de Hermuda","0"
"de Herna","0"
"de Hernaingie","0"
"de Herneyn","0"
"de Hernis","281"
"de Hernselia","0"
"de Herpe","4206"
"de Herps","2995"
"de Herseel","4211"
"de Hersel","4212"
"de Hersela","4229"
"de Hersele","4229"
"de Herselis","0"
"de Herselt","4212"
"de Hersia","0"
"de Hersseel","4212"
"de Herssel","4212"
"de Hersselt","4212"
"de Herstal","4213"
"de Herstallis","4213"
"de Hertmasia","0"
"de Hervia","282"
"de Herwede","0"
"de Herwerden","4058"
"de Herwiinen","4228"
"de Herzeele","4229"
"de Herzele","4229"
"de Hesden","285"
"de Hesdin","4232"
"de Hesdinio","4232"
"de Hesdino","4232"
"de Hesdlinio","4232"
"de Hesduno","4232"
"de Hesel","4233"
"de Hesen","4068"
"de Hesio","0"
"de Hespe Inferiori","6081"
"de Hespem","4237"
"de Hespen","5999"
"de Hespen Inferiori","6081"
"de Hessele","4241"
"de Hesselt","4212"
"de Heusden","285"
"de Hevelario","0"
"de Heveleer","4262"
"de Hevenca","0"
"de Heverbech","0"
"de Heveren","4261"
"de Heverlis","4262"
"de Hevileer","4264"
"de Hevillario","4264"
"de Hevria","4261"
"de Heyda","0"
"de Heydis","0"
"de Heyke","0"
"de Heylechim","4266"
"de Heylesem","4266"
"de Heylesen","4266"
"de Heylesim","4266"
"de Heylessem","4266"
"de Heylichssem","4266"
"de Heylischem","4266"
"de Heylisin","4266"
"de Heylzeem","4266"
"de Heymersheen","4085"
"de Heynkenssant","4087"
"de Heynsbergen","4268"
"de Heynsbergis","4089"
"de Heynsborck","0"
"de Heys","267"
"de Heyssia","0"
"de Heyst","267"
"de Heyvis","0"
"de Heze","4068"
"de Hezeken","0"
"de Hibernia","4560"
"de Hierseke","8981"
"de Hilario","0"
"de Hildernis","4284"
"de Hildernisse","4284"
"de Hildernissen","4284"
"de Hilverenbeeck","287"
"de Hilverzeelle","0"
"de Hinckelenvort","4297"
"de Hinckelnoort","4297"
"de Hingene","289"
"de Hinghelen","0"
"de Hinghen","289"
"de Hingis","0"
"de Hinkepit","0"
"de Hisca","0"
"de Hisca Minori","6082"
"de Hispania","751"
"de Hisponijs","0"
"de Hiverenbeeck","0"
"de Hobbertingen","4323"
"de Hobsat","0"
"de Hocchstraten","295"
"de Hochstrate","295"
"de Hochstraten","295"
"de Hockerzeel","6067"
"de Hockesele","6067"
"de Hockezele","6067"
"de Hocstraten","295"
"de Hodenghem","4372"
"de Hodiscota","4374"
"de Hoechstraet","295"
"de Hoechstraete","295"
"de Hoechstraeten","295"
"de Hoechstrate","295"
"de Hoechstratem","295"
"de Hoechstraten","295"
"de Hoechstrathen","295"
"de Hoechtraten","295"
"de Hoeclem","0"
"de Hoedekenskercck","4317"
"de Hoedekenskerck","4317"
"de Hoedekijnskerck","4317"
"de Hoeden","0"
"de Hoedonck","4399"
"de Hoedycke","0"
"de Hoegardis","4318"
"de Hoegstrate","295"
"de Hoegstraten","295"
"de Hoekelem","0"
"de Hoel","0"
"de Hoelende","4321"
"de Hoembergen","4365"
"de Hoemerts","4369"
"de Hoemis","0"
"de Hoensberch","4382"
"de Hoeren","5999"
"de Hoerent","0"
"de Hoerlem","250"
"de Hoern","296"
"de Hoerne","296"
"de Hoesbroic","265"
"de Hoeschstraten","295"
"de Hoesdem","285"
"de Hoesden","285"
"de Hoesdyn","285"
"de Hoestrate","295"
"de Hoestraten","295"
"de Hoetranghe","6308"
"de Hoeven","294"
"de Hoevis","4329"
"de Hogarden","4318"
"de Hogeloen","4394"
"de Hogestein","3797"
"de Hogheloen","4394"
"de Hoghestrate","295"
"de Hoghestraten","295"
"de Hoghevelde","4336"
"de Hogis","0"
"de Hogloon","4394"
"de Hogstraten","295"
"de Hogstrath","295"
"de Hogstrathen","295"
"de Hoirn","296"
"de Hoirne","296"
"de Holaer","293"
"de Holaert","293"
"de Holie","0"
"de Holien","0"
"de Hollandia","748"
"de Hollonia","4355"
"de Holonia","4355"
"de Holsbeeck","4357"
"de Holsbeek","4357"
"de Holsbek","4357"
"de Holsbeke","4357"
"de Holssel","4359"
"de Holye","0"
"de Homborch","4366"
"de Homborech","4366"
"de Homburch","4366"
"de Hommerts","4369"
"de Hompeluys","0"
"de Honderdorf","4532"
"de Hondert","4373"
"de Hondeschota","4374"
"de Hondescota","4374"
"de Hondisconta","4374"
"de Hondiscota","4374"
"de Hondiscote","4374"
"de Hondiscotia","4374"
"de Hondoschota","4374"
"de Hondscotia","4374"
"de Honixen","0"
"de Honscorsio","0"
"de Hontarighe","0"
"de Hontdiscota","4374"
"de Hontenis","4386"
"de Honteniss","4386"
"de Hontenissa","4386"
"de Hontenisse","4386"
"de Honthiscota","4374"
"de Hontiscota","4374"
"de Honttiscota","4374"
"de Hoocbrocten","0"
"de Hoochstraet","295"
"de Hoochstraeten","295"
"de Hoochstrata","295"
"de Hoochstrate","295"
"de Hoochstraten","295"
"de Hoochwoocklant","0"
"de Hoocstraten","295"
"de Hooghestraete","295"
"de Hoogstraete","295"
"de Hoogstrate","295"
"de Hoogstraten","295"
"de Hooren","296"
"de Hoorn","296"
"de Hoorne","296"
"de Hoosden","285"
"de Hooswich","0"
"de Hopelinis","4452"
"de Hoplinis","4452"
"de Hopplinio","4452"
"de Hora","4252"
"de Horck","0"
"de Horconia","0"
"de Hore","0"
"de Horen","296"
"de Horene","296"
"de Horion","0"
"de Horn","4400"
"de Horne","296"
"de Hornen","4400"
"de Hornio","0"
"de Hornis","4400"
"de Hornvliet","4417"
