856_z,project_fm_id
Universiteitsbibliotheek Gent,21
Koninklijke Bibliotheek van Nederland,22
Bayerische Staatsbibliothek,23
Servizio Bibliotecario Nazionale,24
Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des 16. Jahrhunderts,25
Universidad Complutense de Madrid,26
Biblioteca nazionale centrale di Roma,27
Biblioteca nacional de España,28
The British Library,29
Bibliothèque municipale de Lyon,30
Biblioteca nacional de Portugal,31
Tilburg University Library,32
Universiteit Antwerpen,33
National Library of the Czech Republic,34
Das Verzeichnis der im deutschen Sprachraum erschienenen Drucke des 17. Jahrhunderts,35
Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden,36
Österreichische Nationalbibliothek,37
Universitätsbibliothek Basel,38
Université de Lausanne,39
Universitätsbibliothek Bern,40
University of Oxford,41
Princeton University,42
Biblioteca universitaria Alessandrina Roma,43
Biblioteca di Cremona,44
Biblioteca universitaria di Torino,45
Henry E. Huntington Library and Art Gallery,46
Biblioteca nazionale centrale di Firenze,47
Universitäts- und Landesbibliothek Sachsen-Anhalt,48
Bibliothèque de Genève,49
Universitäts- und Stadtbibliothek Köln,50
Biblioteca Casanatense Roma,51
Universiteitsbibliotheek Amsterdam,52
Biblioteca Casanatense di Roma,53
Biblioteca nazionale di Napoli,54
Biblioteca de Catalunya,55
Museum Plantijn-Moretus,56
Columbia University,57
Staats- und Stadtbibliothek Augsburg,58
Herzog August Bibliothek Wolfenbüttel,59
Maastricht University Library,60
Staatsbibliothek zu Berlin,61
Museum Plantin-Moretus,62
Dolnośląska Biblioteka Cyfrowa,63
Museum Plantin Moretus,64
Universiteitsbibliotheek Leiden,65
Thüringer Universitäts- und Landesbibliothek Jena,66
Universiteit Gent,67
Universität Luzern,68
Tresoar,69
Centre Céramique Maastricht,70
Sapienza - Università di Roma,71
Universiteitsbibliotheek Nijmegen,72
University of Michigan,73
ETH-Bibliothek Zürich,74
Biblioteca Angelica Roma,75
Biblioteca Statale di Cremona,76
Erfgoedbibliotheek Hendrik Conscience Antwerpen,77
Erfgoedbibliotheek Hendrik Conscience,78
Bibliothèque municipale de Lyon,79
Universiteitsbibliotheek Groningen,80
Oxford University,81
University of California,82
Universitätsbibliothek Paderborn,83
Ohio State University,84
Bodleian Library,85
Bayersiche Staatsbibliothek,86
University of Wisconsin-Madison Libraries,87
Bibliothèque Municipale de Lyon,88
Niedersächsische Staats- und Universitätsbibliothek Göttingen,89
Universitäts- und Landesbibliothek Düsseldorf,90
Staatliche Bibliothek Regensburg,91
Universiteit Utrecht,92
Harvard Library,93
Biblioteca Nacional de España,94
Zentralbibliothek Zürich,95
Universitätsbibliothek Freiburg,96
Universitätsbibliothek Heidelberg,97
Staatsbibliothek Bamberg,98
Cambridge University Library,99
Biblioteca de Montserrat,100
Universitätsbibliothek Leipzig,101
This edition in STCN,102
Bayerische Staatsbibliothek ),103
UCLouvain,104
Biblioteca Pública Episcopal del Seminari Conciliar de Barcelona,105
Tilburg University Library (state,106
National Library of Israel,107
Universiteitsbibliotheek Gent ),108
Biblioteca Valenciana Digital,109
Universidad Complutense de Madrid ),110
Folger Shakespeare Library,111
Bibliotheque municipale de Lyon,112
Biblioteca Valenciana,113
New York Public Library,114
Bibliotheek Universiteit Antwerpen,115
Duke University,116
National Library of Romania,117
Biblioteka Narodowa,118
University of Illinois,119
