Title,fm_id,RecordID,856_u,856_y,project
Physica et metaphysica.,2071,998409340101488,https://resolver.libis.be/IE5741692/representation,KU Leuven Libraries BIBC BRES Ms. 328,17
Logica.,2072,9983677380101488,https://resolver.libis.be/IE5402644/representation,KU Leuven Libraries GBIB GBIB PM0328,17
Physica,2073,9983680640101488,https://resolver.libis.be/IE5146094/representation,KU Leuven Libraries GBIB GBIB PM0325,17
Physica,2074,9983684110101488,https://resolver.libis.be/IE5127222/representation,KU Leuven Libraries GBIB GBIB PM0324,17
Dialectica.,2075,9984692670101488,https://resolver.libis.be/IE5130368/representation,KU Leuven Libraries GBIB GBIB PM0334,17
Logica.,2076,9984806480101488,https://resolver.libis.be/IE5045786/representation,Abdij van Berne Heeswijk Ms. O1,17
Metaphysica.,2077,9984809220101488,https://resolver.libis.be/IE5074686/representation,Abdij van Berne Heeswijk Ms. O2,17
Physica.,2078,9984813000101488,https://resolver.libis.be/IE3580217/representation,Abdij van Berne Heeswijk Ms. K6,17
Logica.,2079,9984817940101488,https://resolver.libis.be/IE5062854/representation,Abdij van Berne Heeswijk Ms. K1,17
Physica.,2080,9984825290101488,https://resolver.libis.be/IE5076811/representation,Abdij van Berne Heeswijk Ms. R2,17
Logica.,2081,9984831760101488,https://resolver.libis.be/IE5073011/representation,Abdij van Berne Heeswijk Ms. K8,17
Dialectica.,2082,9984875010101488,https://resolver.libis.be/IE5071870/representation,Abdij van Berne Heeswijk Ms. 251,17
Mechanica.,2083,9984879010101488,https://resolver.libis.be/IE3555662/representation,Abdij van Berne Heeswijk Ms. R11,17
Physica.,2084,9984882080101488,https://resolver.libis.be/IE5068394/representation,Abdij van Berne Heeswijk Ms. K13,17
Logica.,2085,9984889740101488,https://resolver.libis.be/IE5064739/representation,Abdij van Berne Heeswijk Ms. K14,17
Annotata physicalia.,2086,9984909340101488,https://resolver.libis.be/IE5056624/representation,Abdij van Berne Heeswijk Ms. M9,17
De logica et de sphæra.,2087,9984913130101488,https://resolver.libis.be/IE5054670/representation,Abdij van Berne Heeswijk Ms. K12,17
Logica.,2088,9984915010101488,https://resolver.libis.be/IE5048421/representation,Abdij van Berne Heeswijk Ms. K9,17
Tractatus de sponsalibus et matrimonio.,2089,9984952000101488,https://resolver.libis.be/IE5746366/representation,KU Leuven Libraries BIBC BRES Ms. 350,17
Physica,2090,9985204270101488,https://resolver.libis.be/IE5744754/representation,KU Leuven Libraries BIBC BRES Ms. 349,17
De actibus humanis & legibus.,2091,9985275330101488,https://resolver.libis.be/IE5747126/representation,KU Leuven Libraries BIBC BRES Ms. 351,17
Logica,2092,9985276830101488,https://resolver.libis.be/IE5111751/representation,KU Leuven Libraries BIBC BRES Ms. 352,17
Scripta theologica.,2093,9985449980101488,https://resolver.libis.be/IE5069877/representation,Abdij van Berne Heeswijk Ms. M5,17
Scripta de sacramentis.,2094,9985450340101488,https://resolver.libis.be/IE5052929/representation,Abdij van Berne Heeswijk Ms. F11,17
Physica.,2095,9988171070101488,https://resolver.libis.be/IE5752018/representation,KU Leuven Libraries BIBC BRES Ms. 354,17
Logica.,2096,9988171170101488,https://resolver.libis.be/IE5748294/representation,KU Leuven Libraries BIBC BRES Ms. 353,17
Physica.,2097,9989636720101488,https://resolver.libis.be/IE5755700/representation,KU Leuven Libraries BIBC BRES Ms. 355,17
Collectanea juridica sive Annotationes ad leges diversas.,2098,9989672710101488,https://resolver.libis.be/IE5337894/representation,KU Leuven Libraries BIBC BRES Ms. 312,17
Physica,2099,9990180740101488,https://resolver.libis.be/IE5758512/representation,KU Leuven Libraries BIBC BRES Ms. 356,17
Physica,2100,9991877070101488,https://resolver.libis.be/IE5762184/representation,KU Leuven Libraries BIBC BRES Ms. 361,17
Logica,2101,9992066370101488,https://resolver.libis.be/IE5112496/representation,KU Leuven Libraries BIBC BRES Ms. 357,17
Physica.,2102,9992070040101488,https://resolver.libis.be/IE5759704/representation,KU Leuven Libraries BIBC BRES Ms. 358,17
Physica,2103,9992075290101488,https://resolver.libis.be/IE5760998/representation,KU Leuven Libraries BIBC BRES Ms. 359,17
Logica. Metaphysica,2104,9992112188001488,https://resolver.libis.be/IE5764522/representation,KU Leuven Libraries BIBC BRES Ms. 362,17
Logica,2105,9992119909401488,https://resolver.libis.be/IE5765786/representation,KU Leuven Libraries BIBC BRES Ms. 363,17
Dialectica,2106,9992133084901488,https://resolver.libis.be/IE5172666/representation,Archives de l'Université catholique de Louvain Ms. C24,17
Logica,2107,9992133091401488,https://resolver.libis.be/IE5147700/representation,Archives de l'Université catholique de Louvain Ms. C18,17
Logica,2108,9992133203501488,https://resolver.libis.be/IE5142506/representation,Archives de l'Université catholique de Louvain Ms. C2,17
Dialectica,2109,9992133262401488,https://resolver.libis.be/IE5181068/representation,Archives de l'Université catholique de Louvain Ms. C29,17
Logica,2110,9992133547201488,https://resolver.libis.be/IE5191313/representation,Archives de l'Université catholique de Louvain Ms. C48,17
Dialectica,2111,9992133557801488,https://resolver.libis.be/IE5173576/representation,Archives de l'Université catholique de Louvain Ms. C31,17
Physica. Dialectica,2112,9992133560601488,https://resolver.libis.be/IE5134064/representation,Archives de l'Université catholique de Louvain Ms. C3,17
Logica,2113,9992134347801488,https://resolver.libis.be/IE5252151/representation,Archives de l'Université catholique de Louvain Ms. C86,17
Logica,2114,9992134599601488,https://resolver.libis.be/IE5209411/representation,Archives de l'Université catholique de Louvain Ms. C57,17
Dialectica,2115,9992134603301488,https://resolver.libis.be/IE5208735/representation,Archives de l'Université catholique de Louvain Ms. C50,17
Logica. Metaphysica. Ethica,2116,9992134606101488,https://resolver.libis.be/IE5192913/representation,Archives de l'Université catholique de Louvain Ms. C49,17
Logica,2117,9992134681701488,https://resolver.libis.be/IE5242315/representation,Archives de l'Université catholique de Louvain Ms. C78,17
Ethica. Logica,2118,9992134685601488,https://resolver.libis.be/IE5224935/representation,Archives de l'Université catholique de Louvain Ms. C66,17
Logica,2119,9992134688101488,https://resolver.libis.be/IE5219023/representation,Archives de l'Université catholique de Louvain Ms. C62,17
Dialectica,2120,9992135447901488,https://resolver.libis.be/IE5264858/representation,Archives de l'Université catholique de Louvain Ms. C100,17
