fm_id,type
4729,printed
4730,printed
4731,printed
4732,printed
4733,printed
4734,printed
4735,printed
4736,printed
4737,printed
4738,printed
4739,printed
4740,printed
4741,printed
4742,printed
4743,printed
4744,printed
4745,printed
4746,printed
4747,printed
4748,printed
4749,printed
4750,printed
4751,printed
4752,printed
4753,printed
4754,printed
4755,printed
4756,printed
4757,printed
4758,printed
4759,printed
4760,printed
4761,printed
4762,printed
4763,printed
4764,printed
4765,printed
4766,printed
4767,printed
4768,printed
4770,printed
4772,printed
4773,printed
4774,printed
4775,printed
4776,printed
4777,printed
4778,printed
4779,printed
4780,printed
4781,printed
4782,printed
4783,printed
4784,printed
4785,printed
4786,printed
4787,printed
4788,printed
4789,printed
4790,printed
4791,printed
4792,printed
4793,printed
4794,printed
4795,printed
4796,printed
4797,printed
4798,printed
4799,printed
4800,printed
4801,printed
4802,printed
4803,printed
4804,printed
4805,printed
4806,printed
4807,printed
4808,printed
4809,printed
4810,printed
4811,printed
4812,printed
4813,printed
4814,printed
4815,printed
4816,printed
4819,printed
4820,printed
4821,printed
4822,printed
4823,printed
4824,printed
4826,printed
4827,printed
4828,printed
4829,printed
4830,printed
4831,printed
4835,printed
4836,printed
4837,printed
4839,printed
4840,printed
4841,printed
4842,printed
4843,printed
4844,printed
4846,printed
4847,printed
4849,printed
4850,printed
4851,printed
4852,printed
4853,printed
4854,printed
4855,printed
4856,printed
4857,printed
4858,printed
4859,printed
4860,printed
4861,printed
4862,printed
4863,printed
4864,printed
4867,printed
4868,printed
4869,printed
4870,printed
4871,printed
4872,printed
4873,printed
4874,printed
4875,printed
4876,printed
4877,printed
4878,printed
4879,printed
4880,printed
4881,printed
4882,printed
4883,printed
4884,printed
4885,printed
4886,printed
4887,printed
4888,printed
4889,printed
4890,printed
4891,printed
4893,printed
4894,printed
4895,printed
4896,printed
4897,printed
4898,printed
4899,printed
4900,printed
4901,printed
4902,printed
4903,printed
4904,printed
4905,printed
4906,printed
4907,printed
4908,printed
4909,printed
4910,printed
4911,printed
4912,printed
4913,printed
4914,printed
4915,printed
4916,printed
4917,printed
4918,printed
4919,printed
4920,printed
4921,printed
4922,printed
4923,printed
4924,printed
4925,printed
4926,printed
4927,printed
4928,printed
4929,printed
4930,printed
4935,printed
4936,printed
4937,printed
4938,printed
4939,printed
4940,printed
4941,printed
4942,printed
4943,printed
4944,printed
4952,printed
4982,printed
4983,printed
