"descriptor","Place_ID","place_standard"
"a Lens","362","Lens"
"a Leodio","392","Liège"
"a Lestinis","364","Lessen"
"a Leydis","5004","Leiden"
"a Lichthensain","5100","Liechtenstein"
"a Lieuwardia","4995","Leeuwarden"
"a Lint","5177","Lint"
"a Lintris Inferiori","449","Neerlinter"
"a Lira","5190","Lira"
"a Lishout","5113","Lieshout"
"a Loenhout","5245","Loenhout"
"a Logio","5247","Logio"
"a Loinen","5249","Loinen"
"a Lommel","5259","Lommel"
"a Lonchin","5260","Loncin"
"a Longo Prato","0",""
"a Loon","5281","Loon"
"a Loonbeke","5282","Loonbeek"
"a Lorich","5291","Lorich"
"a Lovanio","2","Leuven"
"a Lubeka","5321","Lübeck of Lubbeek check"
"a Lueto","5330","Lueto"
"a Luijdis","5332","Luijdis"
"a Lutosa","367","Leuze"
"a Luxenburgo","5355","Luxembourg"
"a Lyrop","5111","Lierop"
"a Magno Ramo","0",""
"a Malbodio","5565","Maubeuge"
"a Maldegien","399","Maldegem"
"a Manilio Sancti Blasii","5732","Mesnil-Saint-Blaise"
"a Marbasio","5464","Marbasio"
"a Marca","5515","Mark"
"a Marillis","5511","Marilles-Nodrenge"
"a Marollis","5525","Marolle"
"a Martia","5531","Marsenne"
"a Marts Hanonie","61","Mons"
"a Mechilinia","409","Mechelen"
"a Mechlia","409","Mechelen"
"a Mechlinia","409","Mechelen"
"a Melain","5651","Melin"
"a Meldaert","5640","Meldert"
"a Melsen","5664","Melsen"
"a Merwen","5722","Merwen"
"a Mesche","5724","Mesch"
"a Messelbron","5734","Messel"
"a Metis","5744","Metz"
"a Meyssenhausen","5745","Metzenhausen"
"a Middelborgo","425","Middelburg"
"a Middelburgho","425","Middelburg"
"a Middelburgo","425","Middelburg"
"a Minori villa","5721","Merville"
"a Miselen","5795","Miselen"
"a Monfort","5906","Montfort of Montfoort check"
"a Monte dive Gertrudis","216","Geertruidenberg"
"a Monte Sancti Guberti","5888","Mont-Saint-Guibert"
"a Monte Sancti Gwinnoci","7553","Sint-Winoksbergen"
"a Montessaio","5904","Montessaio"
"a Montfort","5905","Montfoort"
"a Montibus","61","Mons"
"a Montibus Hannonie","61","Mons"
"a Montibus Hannonis","61","Mons"
"a Montibus Hanonie","61","Mons"
"a Morenco","5938","Morenco"
"a Mortassart","5957","Mortassart"
"a Mumerscha","6001","Mumerscha"
"a Namorco","445","Namen"
"a Namurco","445","Namen"
"a Nbasseya","1304","Basse of La Bassée check"
"a Nieudorp","0",""
"a Nieuroi","6167","Nieuwrode"
"a Nivella","457","Nijvel"
"a Nordewyck","462","Noorderwijk"
"a Nova Villa","451","Neufvilles"
"a Novem Domibus","6123","Neufmaison"
"a Novilia","6242","Noville"
"a Novo Castro","6122","Neufchâteau"
"a Pepingen","6629","Pepingen"
"a Peruveto","500","Péruwelz"
"a Perve","500","Péruwelz"
"a Perveto","6646","Perwez of Perwijs of Péruwelz check"
"a Perweto","6646","Perwez of Perwijs of Péruwelz check"
"a Pessundo","6654","Pessundo"
"a Phaen","0",""
"a Poeppel","6760","Poppel"
"a Ponto Romano","6745","Pont-Romain"
"a Poperingis","508","Poperinge"
"a Poroyen","6717","Poederoijen"
"a Posnania","6767","Posen"
"a Prellis","6786","Presles"
"a Quarceto","6840","Quesnoy"
"a Querceto","6840","Quesnoy"
