"descriptor","Place_ID","place_standard"
"de Gestele","228","Gestel"
"de Gestell","228","Gestel"
"de Gestelle","228","Gestel"
"de Gestile","228","Gestel"
"de Gestis","3347","Geest-Gérompont-Petit-Rosière"
"de Gesto","3347","Geest-Gérompont-Petit-Rosière"
"de Gesto Sancte Johannis","7511","Sint-Jans-Geest"
"de Gesto Sancti Johannis","7511","Sint-Jans-Geest"
"de Gesto Sancti Remigii","578","Sint-Remigius-Geest"
"de Gever","4665","Jever"
"de Gevre","4665","Jever"
"de Ghama","0",""
"de Ghanert","0",""
"de Ghayon","0",""
"de Gheel","215","Geel"
"de Gheele","215","Geel"
"de Gheelroy","3377","Gelrode"
"de Gheemaert","223","Gemert"
"de Gheener","0",""
"de Gheer","0",""
"de Gheeresdonck","0",""
"de Gheerfliet","3344","Geervliet"
"de Gheertvliet","3344","Geervliet"
"de Gheervliet","3344","Geervliet"
"de Gheest","3346","Geest-Gérompont"
"de Gheestel","228","Gestel"
"de Gheffen","3350","Geffen"
"de Ghel","0",""
"de Ghelapbeke","3508","Glabbeek-Zuurbemde"
"de Gheldonia","218","Geldenaken"
"de Gheldrop","220","Geldrop"
"de Gheldrope","220","Geldrop"
"de Ghele","215","Geel"
"de Ghelee","3368","Geleen"
"de Ghelria","3361","Gelderen"
"de Ghels","0",""
"de Ghelsbeke","8836","Wielsbeke"
"de Ghemart","223","Gemert"
"de Ghemeert","223","Gemert"
"de Ghemeppe","4655","Jemeppe-sur-Sambre"
"de Ghemert","223","Gemert"
"de Ghenapia","224","Genepiën"
"de Ghenck","3402","Genk"
"de Gherardi Monte","227","Geraardsbergen"
"de Gherardimonte","227","Geraardsbergen"
"de Gherpinia","3433","Gerpinnes"
"de Gheruelit","3344","Geervliet"
"de Ghervliet","3344","Geervliet"
"de Gherwen","3438","Gerwen"
"de Ghest","3347","Geest-Gérompont-Petit-Rosière"
"de Ghestel","228","Gestel"
"de Ghestele","228","Gestel"
"de Ghestell","228","Gestel"
"de Ghestelt","228","Gestel"
"de Gheverdinchove","231","Gijverinkhove"
"de Ghierel","230","Gierle"
"de Ghierl","230","Gierle"
"de Ghierle","230","Gierle"
"de Ghiervliet","3344","Geervliet"
"de Ghiestele","3501","Gistel"
"de Ghifke","0",""
"de Ghilse","3487","Gilze"
"de Ghilzen","3487","Gilze"
"de Ghine","0",""
"de Ghingelen","234","Gingelom"
"de Ghinghelem","234","Gingelom"
"de Ghinghelun ultra","234","Gingelom"
"de Ghisegnies","3465","Ghissignies"
"de Ghistella","3501","Gistel"
"de Ghits","3503","Gits"
"de Ghoes","3550","Goes"
"de Ghoricon","238","Gorinchem"
"de Ghostel","214","Gastel"
"de Ghouree","3542","Goedereede"
"de Ghous","3550","Goes"
"de Ghurle","230","Gierle"
"de Ghuscuto","0",""
"de Ghysen","3475","Giessen"
"de Ghyssen","3475","Giessen"
"de Gierle","230","Gierle"
"de Giersis","0",""
"de Gierste","0",""
"de Gieverwine","0",""
"de Gijnck","3402","Genk"
"de Gilbrech","0",""
"de Gileto","0",""
"de Gilingio","3371","Gellingen"
"de Gilio","0",""
"de Gils","3487","Gilze"
"de Gilse","3487","Gilze"
"de Gimblaco","3385","Gembloux"
"de Gimmelaco","3385","Gembloux"
"de Ginblaco","3385","Gembloux"
"de Gingelen","234","Gingelom"
"de Gingelim","234","Gingelom"
"de Gingelom","234","Gingelom"
"de Ginselom","234","Gingelom"
"de Ginvalia","3416","Genval"
"de Girle","230","Gierle"
"de Girs","0",""
"de Gisp","0",""
"de Gissen","3475","Giessen"
"de Gistel","3501","Gistel"
"de Gistella","3501","Gistel"
"de Gits","3503","Gits"
"de Giverijchoeve","231","Gijverinkhove"
"de Giveto","3504","Givet"
"de Giveto Joannis","3504","Givet"
"de Glabbay","3507","Glabbeek"
"de Glabbeeck","3507","Glabbeek"
"de Glabbeka","3507","Glabbeek"
"de Glabbeke","3507","Glabbeek"
"de Glabech","3507","Glabbeek"
"de Gladio","0",""
"de Glagion","3513","Glageon"
"de Glaion","3513","Glageon"
"de Glasco","3518","Glasgow"
"de Glasgo","3518","Glasgow"
"de Glatz","0",""
"de Glayon","3513","Glageon"
"de Glem","0",""
"de Glenoy","0",""
"de Glimis","3521","Glimes"
"de Glinden","221","Gelinden"
"de Goberville","3620","Gouberville"
"de Godeca","0",""
"de Godefridi Campo","236","Godewaersvelde"
"de Goden","0",""
"de Goderede","3542","Goedereede"
"de Goderzee","0",""
"de Godio","0",""
"de Godrificampo","236","Godewaersvelde"
"de Godsenhoven","3553","Goetsenhoven"
"de Godtsenhoven","3553","Goetsenhoven"
"de Goechem","0",""
"de Goedere","3542","Goedereede"
"de Goederzee","3542","Goedereede"
"de Goedsenhoeven","3553","Goetsenhoven"
"de Goedsenhoven","3553","Goetsenhoven"
"de Goele","2532","Dammartin-en-Goële"
"de Goere","3542","Goedereede"
"de Goerede","3542","Goedereede"
"de Goeree","3549","Goeree"
"de Goerghem","238","Gorinchem"
"de Goerkeem","238","Gorinchem"
"de Goerkem","238","Gorinchem"
"de Goerkom","238","Gorinchem"
"de Goerl","3562","Goirle"
"de Goerp","3596","Gorp"
"de Goerse","3601","Gorsem"
"de Goersenhoeve","0",""
"de Goerssen","3601","Gorsem"
"de Goerzee","3542","Goedereede"
"de Goes","3550","Goes"
"de Goese","3550","Goes"
"de Goesenhoven","3553","Goetsenhoven"
"de Goesleto","239","Gosselies"
"de Goess","3550","Goes"
"de Goesse","3550","Goes"
"de Goest","3550","Goes"
"de Goetsenhouwen","3553","Goetsenhoven"
"de Goetsenhove","3553","Goetsenhoven"
"de Goetsenhoven","3553","Goetsenhoven"
"de Goetsenhovia","3553","Goetsenhoven"
"de Goetshoven","3553","Goetsenhoven"
"de Goetsnoven","3553","Goetsenhoven"
"de Gogenhoven","3757","Guigoven"
"de Goij","3466","Ghoy"
"de Goirckum","238","Gorinchem"
"de Goirzee","3563","Goirzee"
"de Goldenstain","0",""
"de Gombruco","0",""
"de Goncourt","3574","Goncourt"
"de Gondecourt","3576","Gondecourt"
"de Gondecuria","3576","Gondecourt"
"de Gondicuria","3576","Gondecourt"
"de Gonomontis","0",""
"de Gootsnoven","3553","Goetsenhoven"
"de Gopting","0",""
"de Gorchem","238","Gorinchem"
"de Gorchom","238","Gorinchem"
"de Gorchum","238","Gorinchem"
"de Gorckem","238","Gorinchem"
"de Gorckom","238","Gorinchem"
"de Gorcom","238","Gorinchem"
"de Gorcomio","238","Gorinchem"
"de Gorcum","238","Gorinchem"
"de Gordersom","0",""
"de Gordun","3592","Gordun"
"de Gore","0",""
"de Gorga","0",""
"de Gorge","0",""
"de Gorgom","238","Gorinchem"
"de Gorichom","238","Gorinchem"
"de Goricom","238","Gorinchem"
"de Gorkem","238","Gorinchem"
"de Gorkom","238","Gorinchem"
"de Gorkum","238","Gorinchem"
"de Gorle","0",""
"de Goroeninga","245","Groningen"
"de Gorra","3588","Goor"
"de Gorre","3597","Gorre"
"de Gorria","0",""
"de Gorriconi","0",""
"de Gorsey","3603","Gorsey"
"de Gorsville","0",""
"de Gosleto","239","Gosselies"
"de Gosseleto","239","Gosselies"
"de Gossleto","239","Gosselies"
"de Gotem","3616","Gotem"
"de Gotsenhoven","3553","Goetsenhoven"
"de Gouda","3621","Gouda"
"de Goude","0",""
"de Gouden","0",""
"de Goudonck","0",""
"de Gougny","3623","Gougnies"
"de Gouillain","0",""
"de Gous","3550","Goes"
"de Gouscheleto","239","Gosselies"
"de Gousleto","239","Gosselies"
"de Goutsenhoven","3553","Goetsenhoven"
"de Gouy","3628","Gouy"
"de Gox","0",""
"de Goy","0",""
"de Goys","0",""
"de Gra","3679","Graux"
"de Gracht","0",""
"de Gracia","0",""
"de Gradatach","0",""
"de Graft","3646","Graft"
"de Grainloys","0",""
"de Grammis","3650","Grammene"
"de Grania","0",""
"de Grannis","3672","Granne"
"de Grantsaert","0",""
"de Grasen","3684","Grazen"
"de Grauenbergis","3266","Frauenberg-Eglsee"
"de Grava","0",""
"de Gravelinghis","3696","Grevelingen"
"de Gravelingis","3696","Grevelingen"
"de Gravenpolder","7208","'s-Gravenpolder"
"de Gravensande","7211","'s-Gravenzande"
"de Graverne","0",""
"de Gravesant","7211","'s-Gravenzande"
"de Gravi Linguae","0",""
"de Gravia","3680","Grave"
"de Gravinga","0",""
"de Gravio","3680","Grave"
"de Gre","0",""
"de Greco","0",""
"de Gredis","3648","Graide"
"de Grelle","0",""
"de Grelwevelt","3379","Geluveld"
"de Gressenich","3695","Gressenich"
"de Grevelinghen","3696","Grevelingen"
"de Grevelingis","3696","Grevelingen"
"de Griaco","0",""
"de Grimberc","244","Grimbergen"
"de Grimberch","244","Grimbergen"
"de Grimberghe","244","Grimbergen"
"de Grimberghen","244","Grimbergen"
"de Grimberghis","244","Grimbergen"
"de Grimbergis","244","Grimbergen"
"de Grimme","3702","Grimme"
"de Grineto","0",""
"de Gringniaco","0",""
"de Groenendale","3709","Groenendaal"
"de Groeninga","245","Groningen"
"de Groeningen","245","Groningen"
"de Groeningha","245","Groningen"
"de Groeninghe","245","Groningen"
"de Groeninghen","245","Groningen"
"de Groenynga","245","Groningen"
"de Groenyngha","245","Groningen"
"de Groenynghe","245","Groningen"
"de Groetbrogel","3733","Grote-Brogel"
"de Groetgelmen","3721","Groot-Gelmen"
"de Grollis","0",""
"de Groninga","245","Groningen"
"de Groninge","245","Groningen"
"de Groningen","245","Groningen"
"de Groningha","245","Groningen"
"de Groninghe","245","Groningen"
"de Groninghen","245","Groningen"
"de Gronynghen","245","Groningen"
"de Grootloen","3722","Groot-Loon"
"de Grosso Castro","0",""
"de Grou","3737","Grou"
"de Grubbenvorst","3740","Grubbenvorst"
"de Gruda","3707","Groede"
"de Grueda","3707","Groede"
"de Grueninge","245","Groningen"
"de Grueningen","245","Groningen"
"de Grueningha","245","Groningen"
"de Grueninghe","245","Groningen"
"de Grueninghen","245","Groningen"
"de Gruenninghe","245","Groningen"
"de Gruenynghen","245","Groningen"
"de Gruiningha","245","Groningen"
"de Gruminghe","245","Groningen"
"de Grunenga egens","245","Groningen"
"de Grunighe","245","Groningen"
"de Gruninga","245","Groningen"
"de Gruninge","245","Groningen"
"de Gruningen","245","Groningen"
"de Gruningha","245","Groningen"
"de Gruninghe","245","Groningen"
"de Gruninghen","245","Groningen"
"de Grunynga","245","Groningen"
"de Grunynghe","245","Groningen"
"de Grunynghen","245","Groningen"
"de Grupon","3748","Grupont"
"de Gruta","0",""
"de Gruwtrode","3742","Gruitrode"
"de Gruyninghe","245","Groningen"
"de Gruyninghen","245","Groningen"
"de Grybergis","244","Grimbergen"
"de Grymberghen","244","Grimbergen"
"de Guarenna","0",""
"de Guderee","3542","Goedereede"
"de Gueildrop","220","Geldrop"
"de Guerpi","0",""
"de Gues","3550","Goes"
"de Guetem","0",""
"de Gugoven","3757","Guigoven"
"de Guigoven","3757","Guigoven"
"de Guldonia","218","Geldenaken"
"de Gurilerep","0",""
"de Guyeto","3504","Givet"
"de Gworken","238","Gorinchem"
"de Gyerll","230","Gierle"
"de Gyneken","3496","Ginneken"
"de Gyneto","0",""
"de Gyngelym","234","Gingelom"
"de Gyorle","0",""
"de Gysp","0",""
"de Gyspse","0",""
"de Gystella","3501","Gistel"
"de Haarlem","3929","Harlem"
"de Habordinia","776","Aberdeen"
"de Hacernia","0",""
"de Hachin","0",""
"de Hacht","3774","Haacht"
"de Hackendevel","3806","Hakendover"
"de Hackendevele","3806","Hakendover"
"de Hackendovel","3806","Hakendover"
"de Hactreick","0",""
"de Hadelberga","4074","Heidelberg"
"de Haderwyc","3915","Harderwijk"
"de Hadinton","3782","Haddington"
"de Haecht","3774","Haacht"
"de Haeckenduvel","3806","Hakendover"
"de Haeften","3775","Haaften"
"de Haekendevel","3806","Hakendover"
"de Haelwyn","3814","Halewijn"
"de Haemert","4132","Hemert"
"de Haemste","3776","Haamstede"
"de Haemstede","3776","Haamstede"
"de Haemsterdammis","17","Amsterdam"
"de Haendijck","944","Andijk"
"de Haerbroic","265","Hazebrouck"
"de Haerebeke","258","Harelbeke"
"de Haerlam","250","Haarlem"
"de Haerlebecke","258","Harelbeke"
"de Haerlebeeck","258","Harelbeke"
"de Haerleem","250","Haarlem"
"de Haerlem","250","Haarlem"
"de Haerlinghen","3933","Harlingen"
"de Haernt","0",""
"de Haerschot","3786","Haerschot"
"de Haes","0",""
"de Haesbroec","265","Hazebrouck"
"de Haesbroeck","265","Hazebrouck"
"de Haesbroek","265","Hazebrouck"
"de Haesbroic","265","Hazebrouck"
"de Haesbroick","265","Hazebrouck"
"de Haesbrouc","265","Hazebrouck"
"de Haesbrouch","265","Hazebrouck"
"de Haesbrouck","265","Hazebrouck"
"de Haesbroucq","265","Hazebrouck"
"de Haesdonc","3778","Haasdonk"
"de Haesdonck","3778","Haasdonk"
"de Haestrecht","3779","Haastrecht"
"de Haestricht","3779","Haastrecht"
"de Hafma [Hafnia]","4807","Copenhagen"
"de Haga","6792","Princenhage"
"de Haga Comitis","155","Den Haag"
"de Hagacomitis","155","Den Haag"
"de Hage Comitis","155","Den Haag"
"de Hagha Comitis","155","Den Haag"
"de Haghacomitis","155","Den Haag"
"de Haghis","155","Den Haag"
"de Haght","3774","Haacht"
"de Hagijs","155","Den Haag"
"de Hagis","155","Den Haag"
"de Hahis","0",""
"de Haick","0",""
"de Haine","0",""
"de Hainkensant","4087","Heinkenszand"
"de Hairlinghen","3933","Harlingen"
"de Hakendevel","3806","Hakendover"
"de Hakendove","3806","Hakendover"
"de Hakendovel","3806","Hakendover"
"de Hakenduvel","3806","Hakendover"
"de Halangia insula","0",""
"de Halbania","0",""
"de Halcmaria","865","Alkmaar"
"de Haldersteijn","3811","Haldenstein"
"de Hale","251","Halen"
"de Halem","3813","Halem"
"de Halen","251","Halen"
"de Halenis","251","Halen"
"de Halfen","860","Alfen"
"de Halis","0",""
"de Halle","252","Halle"
"de Hallenbergho","0",""
"de Halleo","0",""
"de Halles","0",""
"de Hallio","0",""
"de Hallis","252","Halle"
"de Hallusto","5","Aalst"
"de Halmer","0",""
"de Halseberghe","882","Alsemberg"
"de Halsembarghis","882","Alsemberg"
"de Halsenberch","882","Alsemberg"
"de Halsenberghe","882","Alsemberg"
"de Halstris","255","Halsteren"
"de Haltere","249","Haaltert"
"de Halteris","0",""
"de Haltria","0",""
"de Halusto","5","Aalst"
"de Ham","3837","Ham"
"de Hamalia","0",""
"de Hamana","0",""
"de Hamaria","3842","Hamar"
"de Hamborch","3844","Hamburg"
"de Hamburch","3844","Hamburg"
"de Hamburgh","3844","Hamburg"
"de Hamburgo","3844","Hamburg"
"de Hamedia","4888","Lahamaide"
"de Hamerste","0",""
"de Hameyda","4888","Lahamaide"
"de Hammalia","0",""
"de Hamme","3849","Hamme"
"de Hammis","3849","Hamme"
"de Hammont","256","Hamont"
"de Hamoir","3856","Hamoir"
"de Hamont","256","Hamont"
"de Hamptia","3862","Hamptia"
"de Hamste","5999","multipel check"
"de Hamstede","3776","Haamstede"
"de Hamstee","3776","Haamstede"
"de Hamstel","930","Amstel"
"de Hamsterdam","17","Amsterdam"
"de Hamsterdammis","17","Amsterdam"
"de Han","0",""
"de Hanbeka","0",""
"de Hanckelvort","0",""
"de Handenbino","0",""
"de Handtwerpia","26","Antwerp"
"de Handwerpia","26","Antwerp"
"de Hanefia","3871","Haneffe"
"de Hanessis","0",""
"de Haneste","0",""
"de Hanez","0",""
"de Hangia","175","Enghien"
"de Hanis","0",""
"de Hannonia","4144","Henegouwen"
"de Hannuta","257","Hannuit"
"de Hannuto","257","Hannuit"
"de Hannuto [a Flo]","0",""
"de Hanret","3886","Hanret"
"de Hansbeke","3887","Hansbeke"
"de Hanserensse","0",""
"de Hansimme","3904","Hanzinne"
"de Hansluco","0",""
"de Hansten","0",""
"de Hansuperlysam","3865","Han-sur-Lesse"
"de Hanswico","3898","Hanswijk"
"de Hant","0",""
"de Hanteau","3899","Hantay"
"de Hantiscota","4374","Hondschoote"
"de Hantverpia","26","Antwerp"
"de Hantwerpia","26","Antwerp"
"de Hantyerpia","26","Antwerp"
"de Hanuto","257","Hannuit"
"de Hap","0",""
"de Hapart","4963","Le Happart"
"de Happaert","4963","Le Happart"
"de Happart","4963","Le Happart"
"de Happencourt","3906","Happencourt"
"de Hapternaco","2814","Echternach"
"de Harbimonte","0",""
"de Harchia","3910","Harchies"
"de Harchies","3910","Harchies"
"de Harderwijck","3914","Harderwijk"
"de Harderwyck","3915","Harderwijk"
"de Hardoeij","1029","Ardooie"
"de Haren","3920","Haren"
"de Harendonck","1037","Arendonk"
"de Hargis","0",""
"de Harilla","0",""
"de Harinckuysa","3925","Haringhuizen-Barsingerhorn"
"de Haringhe","7070","Roesbrugge-Haringe"
"de Harlaam","250","Haarlem"
"de Harlbeca","258","Harelbeke"
"de Harlebeca","258","Harelbeke"
"de Harlebeka","258","Harelbeke"
"de Harlebeke","258","Harelbeke"
"de Harleem","250","Haarlem"
"de Harlem","5999","multipel check"
"de Harlemonte","3930","Harlemonte"
"de Harlen","250","Haarlem"
"de Harleys","0",""
"de Harliaco","4191","Herly"
"de Harliers","0",""
"de Harlijnghen","3933","Harlingen"
"de Harlinghe","3933","Harlingen"
"de Harlinghem","3933","Harlingen"
"de Harlinghen","3933","Harlingen"
"de Harlm","250","Haarlem"
"de Harlune","764","Aarlen"
"de Harlynghen","3933","Harlingen"
"de Harn","0",""
"de Harnem","28","Arnhem"
"de Haroo","3943","Haro"
"de Harreo","0",""
"de Harscot","7","Aarschot"
"de Harsel","0",""
"de Harselt","4212","Herselt"
"de Harsselt","0",""
"de Hartbanio","0",""
"de Hasebroca","265","Hazebrouck"
"de Hasebroech","265","Hazebrouck"
"de Hasebroeck","265","Hazebrouck"
"de Hasebrouc","265","Hazebrouck"
"de Hasebrouck","265","Hazebrouck"
"de Hasenberghe","3958","Hasenberg"
"de Hasenbrouck","265","Hazebrouck"
"de Hasesdonck","3778","Haasdonk"
"de Haslo","0",""
"de Haspra","0",""
"de Hassel","0",""
"de Hasselbroech","265","Hazebrouck"
"de Hasselbroeck","3964","Hasselbroek"
"de Hasselt","260","Hasselt"
"de Hassenberghen","3958","Hasenberg"
"de Hassene","1099","Assen"
"de Hassia","4240","Hessen"
"de Hasta","0",""
"de Haste","0",""
"de Hasten","32","Astene"
"de Hasteria","3971","Hastière-Lavaux"
"de Hastier","3970","Hastière"
"de Hastingen","0",""
"de Hat","8","Aat"
"de Hatz","0",""
"de Hauchin","0",""
"de Hauhoten","0",""
"de Haultraing","4003","Hautrage"
"de Haurich","1143","Aurich"
"de Haurick","1143","Aurich"
"de Hauseligne","0",""
"de Hautem","4465","Houtem"
"de Hauthem","4465","Houtem"
"de Hauwaert","4477","Houwaart"
"de Hauwert","4477","Houwaart"
"de Hauwerto","4477","Houwaart"
"de Havenstede","4011","Havenstede"
"de Havere","0",""
"de Haverech","4019","Havré"
"de Havernas","1167","Avernas-le-Bauduin"
"de Haysdonck","0",""
"de Hazebrouc","265","Hazebrouck"
"de Hazebrouca","265","Hazebrouck"
"de Hazebrouck","265","Hazebrouck"
"de Hazebroucke","265","Hazebrouck"
"de Hazin","0",""
"de Hebis","4048","Heeg"
"de Hebre","4030","Hebre"
"de Heccx","269","Heks"
"de Hechtel","4033","Hechtel"
"de Hechtelt","4033","Hechtel"
"de Heddinio","4232","Hesdin"
"de Hedelle","0",""
"de Heede","4047","Heede"
"de Heel","0",""
"de Heemert","4132","Hemert"
"de Heemstede","3776","Haamstede"
"de Heemsterck","4051","Heemskerk"
"de Heenvliet","4052","Heenvliet"
"de Heer","4053","Heer"
"de Heer Castro","4053","Heer"
"de Heerborch","0",""
"de Heere","4056","Heere"
"de Heerentals","277","Herentals"
"de Heerlem","250","Haarlem"
"de Heersiaux","4210","Herseaux"
"de Heese","4062","Hees"
"de Heeswyc","4067","Heeswijk"
"de Heeswyck","4067","Heeswijk"
"de Heevria","4261","Hever"
"de Heez","4068","Heeze"
"de Heeze","4068","Heeze"
"de Hegmonda","2848","Egmond"
"de Heijda","7875","Ter Heijde"
"de Heijnsborch","4089","Heinsberg"
"de Heijst","267","Heist"
"de Heildesim","4266","Heylissem"
"de Heilem","0",""
"de Heise","0",""
"de Heisia","0",""
"de Heist","267","Heist"
"de Helbeka","0",""
"de Helbeke","258","Harelbeke"
"de Helcheren","270","Helchteren"
"de Helchteren","270","Helchteren"
"de Helchtris","270","Helchteren"
"de Helctris","270","Helchteren"
"de Heldegrem","4097","Heldergem"
"de Heldernis","2594","Den Helder"
"de Heldino","4095","Helden"
"de Heldmont","271","Helmond"
"de Heldrecht","4099","Heldrecht"
"de Helem","4104","Helen-Bos"
"de Helichem","4266","Heylissem"
"de Helichen","4266","Heylissem"
"de Helkin","4112","Helkijn"
"de Hell","4113","Helle"
"de Hellensvoyrt","3822","Hallencourt"
"de Hellesim","4266","Heylissem"
"de Hellis","0",""
"de Hellyssem","4266","Heylissem"
"de Helmont","271","Helmond"
"de Helmonte","271","Helmond"
"de Helsbeke","4357","Holsbeek"
"de Helshaven","4123","Helshoven"
"de Helsingia","4124","Helsing"
"de Helvart","4127","Helvoirt"
"de Helvelzeel","2906","Elversele"
"de Helverenbeka","287","Hilvarenbeek"
"de Helverseele","2906","Elversele"
"de Helversele","2906","Elversele"
"de Helvort","4127","Helvoirt"
"de Helwalscapel","0",""
"de Hemart","4132","Hemert"
"de Hembeke","4524","Humbeek"
"de Hemeda","2910","Emden"
"de Hemelghem","2911","Emelgem"
"de Hemelis","2912","Emelisse"
"de Hemmesen","4134","Hemiksem"
"de Hemsen","4134","Hemiksem"
"de Hemsterdammis","17","Amsterdam"
"de Henchusia","2948","Enkhuizen"
"de Hendengieix","0",""
"de Hendescota","4374","Hondschoote"
"de Heneffia","3871","Haneffe"
"de Henile","0",""
"de Henkensant","4087","Heinkenszand"
"de Henkesant","4087","Heinkenszand"
"de Henlier","0",""
"de Hennef","3871","Haneffe"
"de Henniaco","4146","Hénin-Beaumont"
"de Henouliet","0",""
"de Henr","0",""
"de Henricoert","4153","Henricoert"
"de Henvliet","4052","Heenvliet"
"de Hepgun","0",""
"de Heppengies","274","Heppignies"
"de Hepternaco","2814","Echternach"
"de Heranssenus","0",""
"de Herbovia","0",""
"de Hercia","275","Herchies"
"de Hercivado","0",""
"de Herck","5999","multipel check"
"de Herck prope Halen","279","Herk-de-Stad"
"de Hercke","4184","Herk-de-Stad of Herk check"
"de Herckenroyde","4186","Herkenrode"
"de Herclinia","2996","Erquelinnes"
"de Herderssem","0",""
"de Herderwijc","3915","Harderwijk"
"de Herderwyck","3915","Harderwijk"
"de Herdesom","4176","Herdersem"
"de Here","4053","Heer"
"de Herent","276","Herent"
"de Herentaels","277","Herentals"
"de Herentals","277","Herentals"
"de Herentalz","277","Herentals"
"de Herentas","277","Herentals"
"de Herentaud","278","Herenthout"
"de Herenthals","277","Herentals"
"de Herenthalst","277","Herentals"
"de Herenthas","277","Herentals"
"de Herenthout","278","Herenthout"
"de Herentoudt","278","Herenthout"
"de Herentout","278","Herenthout"
"de Herffelinghe","4179","Herfelingen"
"de Herina","4182","Hérinnes"
"de Herine","4182","Hérinnes"
"de Herke","0",""
"de Herlam","250","Haarlem"
"de Herlebeka","258","Harelbeke"
"de Herlem","250","Haarlem"
"de Herlembeka","0",""
"de Herlemia","250","Haarlem"
"de Herlin","0",""
"de Herlingen","3933","Harlingen"
"de Herlinghe","3933","Harlingen"
"de Herlinghen","3933","Harlingen"
"de Herluno","0",""
"de Hermal","4193","Hermalle-sous-Argenteau"
"de Hermelghem","280","Hermelgem"
"de Hermeton","4196","Hermeton-sur-Meuse"
"de Hermuda","0",""
"de Herna","0",""
"de Hernaingie","0",""
"de Herneyn","0",""
"de Hernis","281","Herne"
"de Hernselia","0",""
"de Herpe","4206","Herpen"
"de Herps","2995","Erps-Kwerps"
"de Herseel","4211","Hersel"
"de Hersel","4212","Herselt"
"de Hersela","4229","Herzele"
"de Hersele","4229","Herzele"
"de Herselis","0",""
"de Herselt","4212","Herselt"
"de Hersia","0",""
"de Hersseel","4212","Herselt"
"de Herssel","4212","Herselt"
"de Hersselt","4212","Herselt"
"de Herstal","4213","Herstal"
"de Herstallis","4213","Herstal"
"de Hertmasia","0",""
"de Hervia","282","Herve"
"de Herwede","0",""
"de Herwerden","4058","Heerewaarden"
"de Herwiinen","4228","Herwijnen"
"de Herzeele","4229","Herzele"
"de Herzele","4229","Herzele"
"de Hesden","285","Heusden"
"de Hesdin","4232","Hesdin"
"de Hesdinio","4232","Hesdin"
"de Hesdino","4232","Hesdin"
"de Hesdlinio","4232","Hesdin"
"de Hesduno","4232","Hesdin"
"de Hesel","4233","Hesel"
"de Hesen","4068","Heeze"
"de Hesio","0",""
"de Hespe Inferiori","6081","Neerhespen"
"de Hespem","4237","Hespen"
"de Hespen","5999","multipel check"
"de Hespen Inferiori","6081","Neerhespen"
"de Hessele","4241","Hessle"
"de Hesselt","4212","Herselt"
"de Heusden","285","Heusden"
"de Hevelario","0",""
"de Heveleer","4262","Heverlee"
"de Hevenca","0",""
"de Heverbech","0",""
"de Heveren","4261","Hever"
"de Heverlis","4262","Heverlee"
"de Hevileer","4264","Hévillers"
"de Hevillario","4264","Hévillers"
"de Hevria","4261","Hever"
"de Heyda","0",""
"de Heydis","0",""
"de Heyke","0",""
"de Heylechim","4266","Heylissem"
"de Heylesem","4266","Heylissem"
"de Heylesen","4266","Heylissem"
"de Heylesim","4266","Heylissem"
"de Heylessem","4266","Heylissem"
"de Heylichssem","4266","Heylissem"
"de Heylischem","4266","Heylissem"
"de Heylisin","4266","Heylissem"
"de Heylzeem","4266","Heylissem"
"de Heymersheen","4085","Heimersheim"
"de Heynkenssant","4087","Heinkenszand"
"de Heynsbergen","4268","Heynsbergen"
"de Heynsbergis","4089","Heinsberg"
"de Heynsborck","0",""
"de Heys","267","Heist"
"de Heyssia","0",""
"de Heyst","267","Heist"
"de Heyvis","0",""
"de Heze","4068","Heeze"
"de Hezeken","0",""
"de Hibernia","4560","Ierland"
"de Hierseke","8981","Yerseke"
"de Hilario","0",""
"de Hildernis","4284","Hildernisse"
"de Hildernisse","4284","Hildernisse"
"de Hildernissen","4284","Hildernisse"
"de Hilverenbeeck","287","Hilvarenbeek"
"de Hilverzeelle","0",""
"de Hinckelenvort","4297","Hinkelenoord"
"de Hinckelnoort","4297","Hinkelenoord"
"de Hingene","289","Hingene"
"de Hinghelen","0",""
"de Hinghen","289","Hingene"
"de Hingis","0",""
"de Hinkepit","0",""
"de Hisca","0",""
"de Hisca Minori","6082","Neerijse"
"de Hispania","751","Spain"
"de Hisponijs","0",""
"de Hiverenbeeck","0",""
"de Hobbertingen","4323","Hoepertingen"
"de Hobsat","0",""
"de Hocchstraten","295","Hoogstraten"
"de Hochstrate","295","Hoogstraten"
"de Hochstraten","295","Hoogstraten"
"de Hockerzeel","6067","Nederokkerzeel"
"de Hockesele","6067","Nederokkerzeel"
"de Hockezele","6067","Nederokkerzeel"
"de Hocstraten","295","Hoogstraten"
"de Hodenghem","4372","Hondeghem"
"de Hodiscota","4374","Hondschoote"
"de Hoechstraet","295","Hoogstraten"
"de Hoechstraete","295","Hoogstraten"
"de Hoechstraeten","295","Hoogstraten"
"de Hoechstrate","295","Hoogstraten"
"de Hoechstratem","295","Hoogstraten"
"de Hoechstraten","295","Hoogstraten"
"de Hoechstrathen","295","Hoogstraten"
"de Hoechtraten","295","Hoogstraten"
"de Hoeclem","0",""
"de Hoedekenskercck","4317","Hoedekenskerke"
"de Hoedekenskerck","4317","Hoedekenskerke"
"de Hoedekijnskerck","4317","Hoedekenskerke"
"de Hoeden","0",""
"de Hoedonck","4399","Hooidonk"
"de Hoedycke","0",""
"de Hoegardis","4318","Hoegaarden"
