source_id,project_id,link,external_id,import
2131,23,https://lib.is/alma9980005450101488,9980005450101488,Imported from 20230728_Omeka_Lovaniensia.csv
2132,23,https://lib.is/alma9979992630101488,9979992630101488,Imported from 20230728_Omeka_Lovaniensia.csv
2133,23,https://lib.is/alma9979992450101488,9979992450101488,Imported from 20230728_Omeka_Lovaniensia.csv
2134,23,https://lib.is/alma9980059700101488,9980059700101488,Imported from 20230728_Omeka_Lovaniensia.csv
2135,23,https://lib.is/alma9988206340101488,9988206340101488,Imported from 20230728_Omeka_Lovaniensia.csv
2136,23,https://lib.is/alma9992198304401488,9992198304401488,Imported from 20230728_Omeka_Lovaniensia.csv
2137,23,https://lib.is/alma9910862660101488,9910862660101488,Imported from 20230728_Omeka_Lovaniensia.csv
2138,23,https://lib.is/alma9979900740101488,9979900740101488,Imported from 20230728_Omeka_Lovaniensia.csv
2139,23,https://lib.is/alma9927444660101488,9927444660101488,Imported from 20230728_Omeka_Lovaniensia.csv
2140,23,https://lib.is/alma998647370101488,998647370101488,Imported from 20230728_Omeka_Lovaniensia.csv
2141,23,https://lib.is/alma9910868240101488,9910868240101488,Imported from 20230728_Omeka_Lovaniensia.csv
2142,23,https://lib.is/alma999311250101488,999311250101488,Imported from 20230728_Omeka_Lovaniensia.csv
2143,23,https://lib.is/alma9910864460101488,9910864460101488,Imported from 20230728_Omeka_Lovaniensia.csv
2144,23,https://lib.is/alma9979896150101488,9979896150101488,Imported from 20230728_Omeka_Lovaniensia.csv
2145,23,https://lib.is/alma9927454240101488,9927454240101488,Imported from 20230728_Omeka_Lovaniensia.csv
2146,23,https://lib.is/alma9926789860101488,9926789860101488,Imported from 20230728_Omeka_Lovaniensia.csv
2147,23,https://lib.is/alma9927460980101488,9927460980101488,Imported from 20230728_Omeka_Lovaniensia.csv
2148,23,https://lib.is/alma9979895700101488,9979895700101488,Imported from 20230728_Omeka_Lovaniensia.csv
2149,23,https://lib.is/alma9992665406701488,9992665406701488,Imported from 20230728_Omeka_Lovaniensia.csv
2150,23,https://lib.is/alma9926856940101488,9926856940101488,Imported from 20230728_Omeka_Lovaniensia.csv
2151,23,https://lib.is/alma9980131210101488,9980131210101488,Imported from 20230728_Omeka_Lovaniensia.csv
2152,23,https://lib.is/alma9980131820101488,9980131820101488,Imported from 20230728_Omeka_Lovaniensia.csv
2153,23,https://lib.is/alma9988206390101488,9988206390101488,Imported from 20230728_Omeka_Lovaniensia.csv
2154,23,https://lib.is/alma9918367480101488,9918367480101488,Imported from 20230728_Omeka_Lovaniensia.csv
2155,23,https://lib.is/alma9916417450101488,9916417450101488,Imported from 20230728_Omeka_Lovaniensia.csv
2156,23,https://lib.is/alma9915805580101488,9915805580101488,Imported from 20230728_Omeka_Lovaniensia.csv
2157,23,https://lib.is/alma9920244040101488,9920244040101488,Imported from 20230728_Omeka_Lovaniensia.csv
2158,23,https://lib.is/alma9931087560101488,9931087560101488,Imported from 20230728_Omeka_Lovaniensia.csv
2159,23,https://lib.is/alma999416650101488,999416650101488,Imported from 20230728_Omeka_Lovaniensia.csv
2160,23,https://lib.is/alma9980020120101488,9980020120101488,Imported from 20230728_Omeka_Lovaniensia.csv
2161,23,https://lib.is/alma9915415790101488,9915415790101488,Imported from 20230728_Omeka_Lovaniensia.csv
2162,23,https://lib.is/alma9980017980101488,9980017980101488,Imported from 20230728_Omeka_Lovaniensia.csv
2163,23,https://lib.is/alma9913824600101488,9913824600101488,Imported from 20230728_Omeka_Lovaniensia.csv
2164,23,https://lib.is/alma9912842700101488,9912842700101488,Imported from 20230728_Omeka_Lovaniensia.csv
2165,23,https://lib.is/alma9980005770101488,9980005770101488,Imported from 20230728_Omeka_Lovaniensia.csv
2166,23,https://lib.is/alma9920734520101488,9920734520101488,Imported from 20230728_Omeka_Lovaniensia.csv
2167,23,https://lib.is/alma9980005830101488,9980005830101488,Imported from 20230728_Omeka_Lovaniensia.csv
2168,23,https://lib.is/alma9911455840101488,9911455840101488,Imported from 20230728_Omeka_Lovaniensia.csv
2169,23,https://lib.is/alma9923228770101488,9923228770101488,Imported from 20230728_Omeka_Lovaniensia.csv
2170,23,https://lib.is/alma992784390101488,992784390101488,Imported from 20230728_Omeka_Lovaniensia.csv
2171,23,https://lib.is/alma9979985030101488,9979985030101488,Imported from 20230728_Omeka_Lovaniensia.csv
2172,23,https://lib.is/alma9921532850101488,9921532850101488,Imported from 20230728_Omeka_Lovaniensia.csv
2173,23,https://lib.is/alma9979984320101488,9979984320101488,Imported from 20230728_Omeka_Lovaniensia.csv
2174,23,https://lib.is/alma9983173910101488,9983173910101488,Imported from 20230728_Omeka_Lovaniensia.csv
2175,23,https://lib.is/alma9979984120101488,9979984120101488,Imported from 20230728_Omeka_Lovaniensia.csv
2176,23,https://lib.is/alma9979983000101488,9979983000101488,Imported from 20230728_Omeka_Lovaniensia.csv
2177,23,https://lib.is/alma9927573270101488,9927573270101488,Imported from 20230728_Omeka_Lovaniensia.csv
2178,23,https://lib.is/alma9979974170101488,9979974170101488,Imported from 20230728_Omeka_Lovaniensia.csv
2179,23,https://lib.is/alma9979974000101488,9979974000101488,Imported from 20230728_Omeka_Lovaniensia.csv
2180,23,https://lib.is/alma9979967230101488,9979967230101488,Imported from 20230728_Omeka_Lovaniensia.csv
2181,23,https://lib.is/alma9979966620101488,9979966620101488,Imported from 20230728_Omeka_Lovaniensia.csv
2182,23,https://lib.is/alma993801690101488,993801690101488,Imported from 20230728_Omeka_Lovaniensia.csv
2183,23,https://lib.is/alma9910861530101488,9910861530101488,Imported from 20230728_Omeka_Lovaniensia.csv
2184,23,https://lib.is/alma9979963110101488,9979963110101488,Imported from 20230728_Omeka_Lovaniensia.csv
2185,23,https://lib.is/alma9992688000601488,9992688000601488,Imported from 20230728_Omeka_Lovaniensia.csv
2186,23,https://lib.is/alma9979961570101488,9979961570101488,Imported from 20230728_Omeka_Lovaniensia.csv
2187,23,https://lib.is/alma9979961390101488,9979961390101488,Imported from 20230728_Omeka_Lovaniensia.csv
2188,23,https://lib.is/alma9979961140101488,9979961140101488,Imported from 20230728_Omeka_Lovaniensia.csv
2189,23,https://lib.is/alma9917340140101488,9917340140101488,Imported from 20230728_Omeka_Lovaniensia.csv
2190,23,https://lib.is/alma9979960350101488,9979960350101488,Imported from 20230728_Omeka_Lovaniensia.csv
2191,23,https://lib.is/alma9979959450101488,9979959450101488,Imported from 20230728_Omeka_Lovaniensia.csv
2192,23,https://lib.is/alma9917556750101488,9917556750101488,Imported from 20230728_Omeka_Lovaniensia.csv
2193,23,https://lib.is/alma9915546410101488,9915546410101488,Imported from 20230728_Omeka_Lovaniensia.csv
2194,23,https://lib.is/alma9921591130101488,9921591130101488,Imported from 20230728_Omeka_Lovaniensia.csv
2195,23,https://lib.is/alma9979957960101488,9979957960101488,Imported from 20230728_Omeka_Lovaniensia.csv
2196,23,https://lib.is/alma9979957700101488,9979957700101488,Imported from 20230728_Omeka_Lovaniensia.csv
2197,23,https://lib.is/alma9911721830101488,9911721830101488,Imported from 20230728_Omeka_Lovaniensia.csv
2198,23,https://lib.is/alma9979945000101488,9979945000101488,Imported from 20230728_Omeka_Lovaniensia.csv
2199,23,https://lib.is/alma998288450101488,998288450101488,Imported from 20230728_Omeka_Lovaniensia.csv
2200,23,https://lib.is/alma998288570101488,998288570101488,Imported from 20230728_Omeka_Lovaniensia.csv
2201,23,https://lib.is/alma999411680101488,999411680101488,Imported from 20230728_Omeka_Lovaniensia.csv
2202,23,https://lib.is/alma9911147530101488,9911147530101488,Imported from 20230728_Omeka_Lovaniensia.csv
2203,23,https://lib.is/alma9920126220101488,9920126220101488,Imported from 20230728_Omeka_Lovaniensia.csv
2204,23,https://lib.is/alma9912841230101488,9912841230101488,Imported from 20230728_Omeka_Lovaniensia.csv
2205,23,https://lib.is/alma9912126380101488,9912126380101488,Imported from 20230728_Omeka_Lovaniensia.csv
2206,23,https://lib.is/alma9911720430101488,9911720430101488,Imported from 20230728_Omeka_Lovaniensia.csv
2207,23,https://lib.is/alma9979934160101488,9979934160101488,Imported from 20230728_Omeka_Lovaniensia.csv
2208,23,https://lib.is/alma9979933470101488,9979933470101488,Imported from 20230728_Omeka_Lovaniensia.csv
2209,23,https://lib.is/alma9911720580101488,9911720580101488,Imported from 20230728_Omeka_Lovaniensia.csv
2210,23,https://lib.is/alma993852230101488,993852230101488,Imported from 20230728_Omeka_Lovaniensia.csv
2211,23,https://lib.is/alma9990397730101488,9990397730101488,Imported from 20230728_Omeka_Lovaniensia.csv
2212,23,https://lib.is/alma9979930960101488,9979930960101488,Imported from 20230728_Omeka_Lovaniensia.csv
2213,23,https://lib.is/alma9915814780101488,9915814780101488,Imported from 20230728_Omeka_Lovaniensia.csv
2214,23,https://lib.is/alma9979929770101488,9979929770101488,Imported from 20230728_Omeka_Lovaniensia.csv
2215,23,https://lib.is/alma9916215770101488,9916215770101488,Imported from 20230728_Omeka_Lovaniensia.csv
2216,23,https://lib.is/alma9914325930101488,9914325930101488,Imported from 20230728_Omeka_Lovaniensia.csv
2217,23,https://lib.is/alma9979928810101488,9979928810101488,Imported from 20230728_Omeka_Lovaniensia.csv
2218,23,https://lib.is/alma9916288160101488,9916288160101488,Imported from 20230728_Omeka_Lovaniensia.csv
2219,23,https://lib.is/alma9929849780101488,9929849780101488,Imported from 20230728_Omeka_Lovaniensia.csv
2220,23,https://lib.is/alma9927883730101488,9927883730101488,Imported from 20230728_Omeka_Lovaniensia.csv
2221,23,https://lib.is/alma9929852380101488,9929852380101488,Imported from 20230728_Omeka_Lovaniensia.csv
2222,23,https://lib.is/alma9911319570101488,9911319570101488,Imported from 20230728_Omeka_Lovaniensia.csv
2223,23,https://lib.is/alma9926803500101488,9926803500101488,Imported from 20230728_Omeka_Lovaniensia.csv
2224,23,https://lib.is/alma9910538840101488,9910538840101488,Imported from 20230728_Omeka_Lovaniensia.csv
2225,23,https://lib.is/alma9910687260101488,9910687260101488,Imported from 20230728_Omeka_Lovaniensia.csv
2226,23,https://lib.is/alma9979926710101488,9979926710101488,Imported from 20230728_Omeka_Lovaniensia.csv
2227,23,https://lib.is/alma9910688020101488,9910688020101488,Imported from 20230728_Omeka_Lovaniensia.csv
2228,23,https://lib.is/alma9918723240101488,9918723240101488,Imported from 20230728_Omeka_Lovaniensia.csv
2229,23,https://lib.is/alma9937195080101488,9937195080101488,Imported from 20230728_Omeka_Lovaniensia.csv
2230,23,https://lib.is/alma9979925240101488,9979925240101488,Imported from 20230728_Omeka_Lovaniensia.csv
2231,23,https://lib.is/alma992497980101488,992497980101488,Imported from 20230728_Omeka_Lovaniensia.csv
2232,23,https://lib.is/alma9914443010101488,9914443010101488,Imported from 20230728_Omeka_Lovaniensia.csv
2233,23,https://lib.is/alma9913905800101488,9913905800101488,Imported from 20230728_Omeka_Lovaniensia.csv
2234,23,https://lib.is/alma9921471530101488,9921471530101488,Imported from 20230728_Omeka_Lovaniensia.csv
2235,23,https://lib.is/alma994924280101488,994924280101488,Imported from 20230728_Omeka_Lovaniensia.csv
2236,23,https://lib.is/alma9914679980101488,9914679980101488,Imported from 20230728_Omeka_Lovaniensia.csv
2237,23,https://lib.is/alma9979911470101488,9979911470101488,Imported from 20230728_Omeka_Lovaniensia.csv
2238,23,https://lib.is/alma9978971780101488,9978971780101488,Imported from 20230728_Omeka_Lovaniensia.csv
2239,23,https://lib.is/alma991875810101488,991875810101488,Imported from 20230728_Omeka_Lovaniensia.csv
2240,23,https://lib.is/alma9923689280101488,9923689280101488,Imported from 20230728_Omeka_Lovaniensia.csv
2241,23,https://lib.is/alma9918683050101488,9918683050101488,Imported from 20230728_Omeka_Lovaniensia.csv
2242,23,https://lib.is/alma9918458460101488,9918458460101488,Imported from 20230728_Omeka_Lovaniensia.csv
2243,23,https://lib.is/alma9916608760101488,9916608760101488,Imported from 20230728_Omeka_Lovaniensia.csv
2244,23,https://lib.is/alma9979903440101488,9979903440101488,Imported from 20230728_Omeka_Lovaniensia.csv
2245,23,https://lib.is/alma9915613250101488,9915613250101488,Imported from 20230728_Omeka_Lovaniensia.csv
2246,23,https://lib.is/alma9915612940101488,9915612940101488,Imported from 20230728_Omeka_Lovaniensia.csv
2247,23,https://lib.is/alma9915779930101488,9915779930101488,Imported from 20230728_Omeka_Lovaniensia.csv
2248,23,https://lib.is/alma9910863110101488,9910863110101488,Imported from 20230728_Omeka_Lovaniensia.csv
2249,23,https://lib.is/alma9910863560101488,9910863560101488,Imported from 20230728_Omeka_Lovaniensia.csv
2250,23,https://lib.is/alma9979891710101488,9979891710101488,Imported from 20230728_Omeka_Lovaniensia.csv
2251,23,https://lib.is/alma9927461100101488,9927461100101488,Imported from 20230728_Omeka_Lovaniensia.csv
2252,23,https://lib.is/alma9992665406901488,9992665406901488,Imported from 20230728_Omeka_Lovaniensia.csv
2253,23,https://lib.is/alma9910860280101488,9910860280101488,Imported from 20230728_Omeka_Lovaniensia.csv
2254,23,https://lib.is/alma9910859010101488,9910859010101488,Imported from 20230728_Omeka_Lovaniensia.csv
2255,23,https://lib.is/alma9979741570101488,9979741570101488,Imported from 20230728_Omeka_Lovaniensia.csv
2256,23,https://lib.is/alma9979740940101488,9979740940101488,Imported from 20230728_Omeka_Lovaniensia.csv
2257,23,https://lib.is/alma9912086800101488,9912086800101488,Imported from 20230728_Omeka_Lovaniensia.csv
2258,23,https://lib.is/alma9978991580101488,9978991580101488,Imported from 20230728_Omeka_Lovaniensia.csv
